begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
80016,80144,"nig, Herr Automate, noch eins.","SARMIENTO
            demaskiert sich.
            Ihr habt mich schon ganz erschöpft. Ihr kennt mich nicht, ich bin der Mercado",",
              Kapitän bei de",0,"transfer(sarmiento, felix, has_name(sarmiento, ""Mercado""))",false
108357,108384,"         
            VALERIA.",Ich liebe dich jetzt nicht.,"PORPORINO.
            Ach – j",1,Papierkorb,false
43696,43808,"         
            VALERIO.","Er ist sehr zärtlich, es ist die Tochter der Witwe Domingos de las Torres, die in
              Saragossa wohnt.","Es ist ein gutes Mädchen, und ",2,"transfer(valerio, sarmiento, lovers(felix, lucilla))",false
168959,168991," VALERIA
            vor sich.",Wie Porporino närrisch aussieht!,"PORPORINO
            zu Melan",3,"knowledge(valeria, identity(""Arzt"", porporino))",false
351131,351161,h war der Schneider und Maler;,"Duca Aquilar, ich war der Arzt",", und habe
              Euch ",4,"transfer(porporino, aquilar, identity(""Arzt"", porporino))",false
335724,335752,"IA.
            Sie liebt ihn,","aber weiß nicht, wer er ist.","PONCE
            kömmt aus de",5,"transfer(""Flametta"", lucilla, !knowledge(isidora, identity(""Pilger""[ponce, aquilar])))",false
223120,223149,n der Raserei nicht entwischt.,"AQUILAR
            küßt sie.","O welcher Blitz, der rückwärts",6,"transfer(aquilar, [audience, melanie, isabella], in_love_with(aquilar, melanie))",false
71210,71229,"       
            SARMIENTO.",Ich bin der Mercado,", Kapitän der Kavallerie, und ",7,"transfer(sarmiento, [aquilar, ponce, audience], has_name(sarmiento, ""Mercado""))",false
22011,22025,"         
            VALERIA.",Ich liebe ihn.,"VALERIO.
            So jage i",8,"transfer(valeria, valerio, in_love_with(valeria, ponce))",false
55936,56048,"       
            PORPORINO.","Seid Ihr Sarmiento?
          
          
            SARMIENTO
            umarmt ihn.
            Ja, ich bins","; aber schweige, ich bins jetz",9,"transfer(sarmiento, porporino, identity(""Maskierter"", sarmiento))",false
351087,351129,"       
            PORPORINO.","Don Ponce, ich war der Schneider und Maler","; Duca Aquilar, ich war der Ar",10,"transfer(porporino, ponce, identity(""Maler und Schneider"", porporino))",false
21551,21570,"         
            VALERIA.",Er will mich nicht.,"VALERIO.
            Er will d",11,"transfer(valeria, [valerio, audience], !in_love_with(ponce, valeria))",false
141895,141951,"
            Lieber Porporino,",ich liebe dich seit ein paar Tagen doch ein bißchen mehr,"; sage mirs
              doch",12,"transfer(valeria, [porporino, audience], in_love_with(valeria, porprino))",false
236633,236695,"          Hilf! Mädchen, hilf!","Sieh, alles Liebesfeuer, was uns armen Jungen im Herzen brennt",",
              soll sich zu s",13,"transfer(aquilar, ""Flametta"", in_love_with(ponce, isidora))",false
201645,201800,"RIA
            zurücktretend.","Ein Fremdling – ach! ein Fremdling seid Ihr? Ich irrte mich – verzeiht, – und rühmt
              Euch nicht, daß Euch an diesem Schlosse ein Weib umarmte.","Sie geht schnell ins
         ",14,Papierkorb,false
142676,142685,"       
            PORPORINO.",Sarmiento,– nun ist es heraus – nun weiß,15,"transfer(porporino, valeria, identity(""Mercado"", sarmiento))",false
105919,105980,"            nichts eigentlich;","aber sieh, er hat sich in Isidora, Felix' Schwester, verliebt",", und
              in ein Bru",16,"transfer(aquilar, valeria, in_love_with(ponce, isidora))",false
350186,350277,"         
            VALERIA.","Porporino, da du Ritter bist, willst du mich noch? Er umfängt sie
                lächelnd.","SARMIENTO.
            Isidora",17,"transfer(valeria, [sarmiento, audience, felix, porporino, valerio, zigeunerin, isabella, ponce, melanie, isidora, aquilar, juanna], lovers(valeria, porporino))",false
349485,349578,"ein Mutter, und nun mein Weib!","Ich schickte sie als meine Schwester
              her, damit ihr eure Mutter kennen lerntet.","JUANNA.
            Ei, wegen ",18,"transfer(sarmiento, [audience, felix, porporino, valerio, zigeunerin, isabella, ponce, melanie, isidora, aquilar, juanna], !siblings(sariento, isabella))",false
349440,349464,"       
            SARMIENTO.",Isabella ist dein Mutter,", und nun mein Weib! Ich schic",19,"transfer(sarmiento, [audience, felix, porporino, valerio, zigeunerin, isabella, ponce, melanie, isidora, aquilar, juanna], parent_of(isabella, porporino))",false
163284,163307,"
            Ach! das ist sie,",das ist Ponces Geliebte,"; o gerne trete ich zurück.
  ",20,"transfer(valeria, valerio, in_love_with(ponce, isidora))",false
341495,341512,"     Steigend. Ficht, Ponce! –",ich bin Porporino,"– ich sterbe hier – wo
       ",21,"transfer( ritter, [ponce, valeria, valerio, audience], identity(ritter, porporino))",false
185550,185564,"e mir Don
              Ponce,",sie liebt ihn.,"ISIDORA.
            Liebt ihn",22,"transfer(""Flametta"", isidora, in_love_with(LOVER[PONCE], ponce))",false
163284,163307,"
            Ach! das ist sie,",das ist Ponces Geliebte,"; o gerne trete ich zurück.
  ",23,Papierkorb,false
213999,214029,"          Das weiß der Himmel,",denn sie ist der Himmel selbst,", und ich will selig sterben –",24,"transfer(porporini, ""Flametta"", in_love_with(porporino, valeria))",false
70831,70864,ier mein Freund bewegten mich.,"SARMIENTO
            demaskiert.","Hier bin auch ich, doch hilft ",25,"SARMIENTO
            demaskiert.",false
287468,287485,"  FELIX.
            Verzeihe,",ich liebe dich so,", daß ich immer glaube, du wüß",26,"transfer(felix, [lucilla, audience], in_love_with(felix, lucilla))",false
248830,248879,"         
            ISIDORA.","Und jener, den du meinen nanntest – heiße Carlos.","MELANIE.
            So können",27,"transfer(isidora, [melanie, audience], has_name(ponce, ""Carlos""))",false
344892,344918,"        
            ISABELLA.",Dort steht der Prätendent.,"FELIX.
            Porporino, ",28,"transfer(isabella, felix, identity(ritter, porporino))",false
340188,340235,"   komme in kein fremdes Haus,","ich komme, meine Braut zu holen – Donna Lucilla",", die Don
              Felix ",29,"transfer(ritter, [ponce, audience, valerio], engaged(ritter, lucilla))",false
176595,176638,"         
            VALERIO.","Tue sie ab, armer Schelm, bis jemand kömmt.","PORPORINO.
            Ich möc",30,"knowledge(valerio, identity(""Arzt"", porporino))",false
