begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
141192,141329,"         
            LEONARD.","Nein – um Gott!
              Wer von den beiden ist die Gräfin? –
            
          
          
            ADELE.
            Ich!",Sie verbirgt ihr Gesicht an Fl,0,"transfer(adele, leonard, identity(""Jungfer"", adele))",false
32103,32308,"       
            SCHLENDER.","Ich bin eigentlich ein Sänger, aber ich habe meine Gurgel viel strapaziert und
              unterwegs die Stimme verloren, da akkompagniere ich jetzt meinen gewesenen Gesang auf
              der Violine.","LEONARD.
            Gut, so b",1,"transfer(schlender, leonard, identity(""Fremder aus dem Wald"", ""Violinist""))",false
118296,118810," dann sich wieder aufrichtend.","Seit wann kenn ich die Angst? – Es ist vorüber! –
              Nie sag die Welt: die Tochter hoher Helden
              Sei so entartet aller Heldenhoheit,
              Daß sie verlernt, sich selbst zu überwinden.
               Jetzt gleich, eh blut'ges Unheil sich begibt,
              Brech ich die Rätsel dieser Mummerei,
              Die dem gemeinen Trieb der Welt mich gleichgestellt. –
              Noch einmal, als die freie Herrin, tret ich
              Vor Florestin – und seh ihn nie mehr wieder!","Ab.
          
          
    ",2,"transfer(adele, audience, identity(""Jungfer"", adele))",false
77973,78002,"
          
            FLITT.",Ja – die Gräfin liebt mich. –,"KNOLL.
            Der gute Gä",3,"transfer(flitt, [audience, knoll], in_love_with(""Adele"", flitt))",false
116068,116638,"
          
            FLORA.","Rettung, Entlarvung, List, Händel, Rumor. –
              Erst stell ich mich heimlich hinter die Laube,
               Bis sich die Bande versammelt zum Raube,
              Dann brech ich als weitläuftiger Vetter vom Haus,
              Der eben von Reisen kommt, plötzlich heraus,
              Staun, frage, drück in die Augen den Hut,
              Und wenn alles konfus recht, ruf ich voll Wut
              Diener und Fackeln – und spieße verwegen
              In der Luft so die Haube mit meinem Degen,
              Die über dem Scheitel der Gräfin tut zücken.","Komm auch mit, lieb Mühmchen.
",4,"transfer(flora, [audience, marie], identity(""Adele"", ""reisender Vetter""))",false
5171,5223," meinen alten Lieblingswunsch,","daß mein Neffe, der
              junge Graf Leonard",", der soeben von Reisen zurück",5,"transfer(fleder, audience, nephew:niece_of(leonard, ""Präsident""))",false
37749,37830," ein, um die Gräfin zu freien,","Graf Leonard, ein Neffe des
              Präsidenten, als reisender Schauspieler",", und der Hofrat Fleder als Fl",6,"transfer(flora, victor, identity(leonard, ""Schauspieler""))",false
32364,32513,"         
            LEONARD.","Gut, so bin ich eigentlich bloß ein Violinspieler, der aber bloß singen kann, und Sie
              sollen mich begleiten. Mein Name ist – Florestin.","SCHLENDER.
            Also ei",7,"transfer(leonard, schlender, identity(leonard, ""Schauspieler""))",false
37749,37802," ein, um die Gräfin zu freien,","Graf Leonard, ein Neffe des
              Präsidenten",", als reisender Schauspieler, ",8,"transfer(flora, victor, nephew:niece_of(leonard, ""Präsident""))",false
128770,128929,Galan die Hasenohren andrückt!,"Flora erblickend.
            
              Wer schleicht da? – Steh! ich denk, dich sucht ich eben!
              Warst du hier mit der Gräfin Kammerjungfer?","FLORA.
            Gewiß. – Es",9,Papierkorb,false
