begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
18892,18971,,,-1,-1,"gst, so darf ich dir bekennen;","Da du gebietest, darf ich sie vor dich              Als meine Tochter stellen.","KÖNIG.                     ",0,"transfer(herzog, koenig, identity(CHILD_OF[HERZOG], eugenie))",false
49497,49556,,,-1,-1,"          Mir auch ein Rätsel,",daß ich noch an dir              Mit solcher Neigung hänge,", da du mich              Zum",1,"transfer(hofmeisterin, [sekretaer, audience], in_love_with(hofmeisterin, sekretaer))",false
5455,5472,Erster Auftritt,Erster Auftritt,-1,-1,"                     HERZOG.",Ist eine Tochter.,"KÖNIG.                     ",2,"transfer(herzog, [koenig, audience], child_of(herzog, DAUGHTER_OF[HERZOG]))",false
7130,7204,,,-1,-1,"              Vereint in sich","die Nichte, die du mir,              So ganz erwachsen, zuzuführen denkst",",              Des Vaters und",3,"transfer(koenig, audience, niece_of(CHILD_OF[HERZOG], koenig))",false
3962,3980,,,-1,-1,gefühlt? Verkümmerte dir nicht,Dein einz'ger Sohn,"durch rohes, wildes Wesen,   ",4,"transfer(koenig, audience, child_of(herzog, SON_OF[HERZOG]))",false
61607,61631,,,-1,-1,"t! du Freundin meines Herzens,",An Mutter Statt Geliebte,", sei gegrüßt.             ",5,"transfer(eugenie, audience, fosterparent_of(hofmeisterin, eugenie))",false
205075,205112,,,-1,-1,"icht, ich eile, dir zu folgen!",Hier meine Hand: wir gehen zum Altar.,,6,"transfer(eugenie, [gerichtsrat, audience], engaged(eugenie, gerichtsrat))",false
6204,6393,,,-1,-1,"                     KÖNIG.","Die Fürstin? Die verehrte, nah verwandte,              Nur erst verstorbne?                                                      HERZOG.                         War die Mutter!","Laß,              O laß mich ",7,"transfer(herzog, [koenig, audience], parent_of(MOTHER_OF[DAUGHTER_OF[HERZOG]], DAUGHTER_OF[HERZOG]))",false
16406,16417,Vierter Auftritt,Vierter Auftritt,-1,-1,"                    EUGENIE.",Mein Vater!,"HERZOG.                    ",8,"transfer(eugenie, audience, identity(CHILD_OF[HERZOG], eugenie))",false
145241,145275,Zweiter Auftritt,Zweiter Auftritt,-1,-1,"                GERICHTSRAT.",Ich wage viel! Der Ehstand ist es!,"EUGENIE.            Wie?    ",9,"transfer(gerichtsrat, [eugenie, audience], in_love_with(gerichtsrat, eugenie))",false
153247,153404,,,-1,-1,ch dir. Wie soll ich's nennen?,"Dankbare, schwesterlich entzückte Neigung!              Ich fühle mich als dein Geschöpf und kann              Dir leider, wie du wünschest, nicht gehören.",GERICHTSRAT.            So sc,10,"transfer(eugenie, [gerichtsrat, audience], !in_love_with(eugenie, gerichtsrat))",false
154944,154983,Dritter Auftritt,Dritter Auftritt,-1,-1,"                GERICHTSRAT.",Zum ew'gen Bunde siehst du mich bereit.,HOFMEISTERIN            zu Eu,11,"transfer(gerichtsrat, hofmeisterin, in_love_with(gerichtsrat, eugenie))",false
156672,156770,,,-1,-1,"                    EUGENIE.","Den Schmeichelworten widerspricht mein Herz              Und widerstrebt euch beiden, ungeduldig.","GERICHTSRAT.               ",12,"transfer(eugenie, hofmeisterin, !in_love_with(eugenie, gerichtsrat))",false
51786,51802,,,-1,-1,"                   SEKRETÄR.","Geliebte, Teure!","Sprichst du doch so leicht,  ",13,"transfer(sekretaer, [hofmeisterin, audience], in_love_with(sekretaer, hofmeisterin))",false
