begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
234447,234530,ie kommen! Ritter! Sie kommen!,"Ottokar wirft schnell Agnes' Oberkleid über, und setzt ihren Hut
              auf.","AGNES.
            Wer soll de",0,"transfer(""Verkleidung"", [audience, barnabe, agnes], identity(ottokar, COSTUME[AGNES]))",false
121201,121231,"         
            OTTOKAR.","Nun, ich will's nicht leugnen.","–
          
          
      ",1,"transfer( ottokar, [agnes, audience], knowledge(ottokar, identity(LOVER[OTTOKAR], agnes)))",false
217445,217483,"          Das ist nicht alles.","Rupert
              Kennt deine Liebe",". –
            
          
  ",2,"transfer(eustache, ottakar, knowledge(rupert, lovers(ottokar, agnes)))",false
32596,32914,"      Wie sagst du, Jeronimus?","JERONIMUS.
            
              Ich weiß, was dich so zäh macht in dem Argwohn.
              's ist wahr, und niemals werd ich's leugnen, ja,
              Ich hatt das Mädel mir zum Weib erkoren.
              Doch eh ich je mit Mördern mich verschwägre,
              Zerbreche mir die Henkershand das Wappen.","OTTOKAR
            fällt Jero",3,"transfer(jeronimus, [ottokar, audience], !in_love_with(jeronimus, agnes))",false
69576,69582,"         
            OTTOKAR.",Maria!,"Willst du nicht besser von
   ",4,"transfer(ottokar, [audience, agnes], has_name(agnes, ""Maria""))",false
67897,67922,"         
            OTTOKAR.",Von Liebe sprach ich nur.,"AGNES.
            
          ",5,"transfer(ottokar, [agnes, audience], in_love_with(ottokar, agnes))",false
51554,51572,"              Dir wegen des an",seinem Sohne Peter,Verübten Mords den Frieden auf,6,"transfer(aldoebern, audience, child_of(""Peter"", rupert))",false
833,855,"rsula, eine Totengräberswitwe.","Barnabe, ihre Tochter.",Eine Kammerjungfer der Eustach,7,"transfer(""Figurentafel"", audience, child_of(barnabe, ursula))",false
156173,156216,"das Mädchen ihm nicht weigert,",Obschon von ihrer Lieb er noch nichts weiß.,"– Wenn Rupert nur –
          ",8,"transfer(jeronimus, eustache, !knowledge(sylvester, lovers(ottokar, agnes)))",false
281,299,"     Eustache, seine Gemahlin.","Ottokar, ihr Sohn.","Johann, Ruperts natürlicher So",9,"transfer(""Figurentafel"", audience, child_of(ottokar, eustache))",false
245,270,"nstein, aus dem Hause Rossitz.","Eustache, seine Gemahlin.","Ottokar, ihr Sohn.
          J",10,"transfer(""Figurentafel"", audience, spouses(rupert, eustache))",false
249572,249737,"         
            SYLVIUS.","Das ist nicht Agnes!
              – Das wäre Agnes, Knabe? Agnes' Kleid,
              Nicht Agnes! Nein bei meinem ew'gen Leben,
              Das ist nicht Agnes!","JOHANN
            die Leiche ",11,"transfer(sylvius, [johann, sylvester, gertrude, eustache, rupert], identity(COSTUME[AGNES], ottokar))",false
102024,102094,"             Weiß nur so viel,","daß sein Namen
              Johann, und er ein unecht Kind des Rupert",",
              – Daß er den R",12,"transfer(jeronimus, [sylvester, agnes], child_of(johann, rupert))",false
30919,31118,bereilt hast du die Auflösung.,"Nicht wahr, das Mädchen, dessen Schleier hier,
              Ist Agnes nicht, nicht Agnes Schroffenstein?
            
          
          
            JOHANN.
            Ich sag dir ja, sie ist es",".
          
          
      ",13,"transfer(johann, [ottokar, audience], identity(LOVER[OTTOKAR], agnes), suspicion)",false
541,561,", Stiefschwester der Eustache.","Agnes, ihre Tochter.","Jeronimus von Schroffenstein, ",14,"transfer(""Figurentafel"", audience, child_of(agnes, sylvester))",false
97596,97649,"hien's fast, wie im Wahnsinn –","sprach
              Von Liebe, daß er mich vergöttre","– nannte
              Bald ei",15,"transfer(agnes, [sylvester, jeronimus, gertrude], in_love_with(johann, agnes))",false
92025,92087,"   Es folgt dir ja kein Feind,","ich liebe dich,
              Ach, lieben! Ich vergöttre dich!","AGNES.
            Fort, Ungeh",16,"transfer(johann, [agnes, audience], in_love_with(johann, agnes))",false
471,500,", sein Sohn, regierender Graf.","Gertrude, Sylvesters Gemahlin",", Stiefschwester der Eustache.",17,"transfer(""Figurentafel"", audience, spouses(gertrude, sylvester))",false
