begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
4441,4463,Erste Szene,Erste Szene,-1,-1,"       RUPERT.            Und",Mutter auch des Toten.,"EUSTACHE.            O Gott! ",0,"transfer(rupert, audience, child_of(CHILD[EUSTACHE], eustache))",false
92169,92184,Dritte Szene,Dritte Szene,-1,-1,"                     AGNES.","Fort, Ungeheuer",", bist du nicht aus Rossitz? ",1,"transfer(agnes,[ johann, audience], !not_in_love_with(agnes, johann))",false
51554,51572,,,-1,-1,"              Dir wegen des an",seinem Sohne Peter,Verübten Mords den Frieden auf,2,"transfer(aldoebern, audience, child_of(""Peter"", rupert))",false
234447,234530,Erste Szene,Erste Szene,-1,-1,ie kommen! Ritter! Sie kommen!,"Ottokar wirft schnell Agnes' Oberkleid über, und setzt ihren Hut              auf.",AGNES.            Wer soll de,3,"transfer(""Verkleidung"", [audience, barnabe, agnes], identity(ottokar, COSTUME[AGNES]))",false
40797,40860,,,-1,-1,"          Wie du nur sprichst!","Sie haben dir den Enkel,              Den Bruder mir vergiftet",", und das sollen             ",4,"transfer(agnes, audience, siblings(agnes, ""Phillipp""))",false
67897,67922,Erste Szene,Erste Szene,-1,-1,"                    OTTOKAR.",Von Liebe sprach ich nur.,"AGNES.                     ",5,"transfer(ottokar, [agnes, audience], in_love_with(ottokar, agnes))",false
7579,7589,,,-1,-1,"o, meinst du, soll ich warten,",Peters Tod,"Nicht rächen, bis ich Ottokars",6,"transfer(rupert, audience, has_name(CHILD[EUSTACHE], ""Peter""))",false
75041,75079,,,-1,-1,"te dein Gemüt so häßlich sein,","Da du doch Agnes, Agnes lieben kannst!","JOHANN.                    ",7,"transfer(agnes, [johann, audience] !in_love_with(agnes, johann))",false
245,270,Personen.,Personen.,-1,-1,"nstein, aus dem Hause Rossitz.","Eustache, seine Gemahlin.","Ottokar, ihr Sohn.          J",8,"transfer(""Figurentafel"", audience, spouses(rupert, eustache))",false
32596,32914,Erste Szene,,-1,-1,"      Wie sagst du, Jeronimus?","JERONIMUS.                         Ich weiß, was dich so zäh macht in dem Argwohn.              's ist wahr, und niemals werd ich's leugnen, ja,              Ich hatt das Mädel mir zum Weib erkoren.              Doch eh ich je mit Mördern mich verschwägre,              Zerbreche mir die Henkershand das Wappen.",OTTOKAR            fällt Jero,9,"transfer(jeronimus, [ottokar, audience], !in_love_with(jeronimus, agnes))",false
114556,114630,,,-1,-1," Stirn, die Brust, und sprach:","Weil du ein Ebenbild der Mutter Gottes,              Maria tauf ich dich.","Agnes wendet sich bewegt.    ",10,"transfer(ottokar, audience, has_name(agnes, ""Maria""))",false
281,299,Personen.,Personen.,-1,-1,"     Eustache, seine Gemahlin.","Ottokar, ihr Sohn.","Johann, Ruperts natürlicher So",11,"transfer(""Figurentafel"", audience, child_of(ottokar, rupert))",false
123641,123700,,,-1,-1,"                     AGNES.","Ganz deine, in der grenzenlosesten              Bedeutung.","OTTOKAR.                   ",12,"transfer(agnes, [ottokar, audience], in_love_with(agnes, ottokar))",false
471,500,Personen.,Personen.,-1,-1,", sein Sohn, regierender Graf.","Gertrude, Sylvesters Gemahlin",", Stiefschwester der Eustache.",13,"transfer(""Figurentafel"", audience, spouses(gertrude, sylvester))",false
92025,92087,,,-1,-1,"   Es folgt dir ja kein Feind,","ich liebe dich,              Ach, lieben! Ich vergöttre dich!","AGNES.            Fort, Ungeh",14,"transfer(johann, [agnes, audience], in_love_with(johann, agnes))",false
234093,234301,,,-1,-1,"            der vor ihr steht.","Wer würde glauben, daß der grobe Mantel              So Zartes deckte, als ein Mädchenleib!              Drück ich dir noch den Helm auf deine Locken,              Mach ich auch Weiber mir zu Nebenbuhlern.",BARNABE            kommt zurü,15,"transfer(""Verkleidung"", [audience, barnabe, ottokar], identity(agnes, COSTUME[OTTOKAR]))",false
421,460,Personen.,Personen.,-1,-1,"nstein, aus dem Hause Warwand.","Sylvester, sein Sohn, regierender Graf.","Gertrude, Sylvesters Gemahlin,",16,"transfer(""Figurentafel"", audience, child_of(sylvester, sylvius))",false
30919,31118,,Erste Szene,-1,-1,bereilt hast du die Auflösung.,"Nicht wahr, das Mädchen, dessen Schleier hier,              Ist Agnes nicht, nicht Agnes Schroffenstein?                                         JOHANN.            Ich sag dir ja, sie ist es",".                        ",17,"transfer(johann, [ottokar, audience], identity(LOVER[OTTOKAR], agnes), suspicion)",false
541,561,Personen.,Personen.,-1,-1,", Stiefschwester der Eustache.","Agnes, ihre Tochter.","Jeronimus von Schroffenstein, ",18,"transfer(""Figurentafel"", audience, child_of(agnes, getrude))",false
310,343,Personen.,Personen.,-1,-1,".          Ottokar, ihr Sohn.","Johann, Ruperts natürlicher Sohn.","Sylvius, Graf von Schroffenste",19,"transfer(""Figurentafel"", audience, child_of(johann, rupert))",false
833,855,Personen.,Personen.,-1,-1,"rsula, eine Totengräberswitwe.","Barnabe, ihre Tochter.",Eine Kammerjungfer der Eustach,20,"transfer(""Figurentafel"", audience, child_of(barnabe, ursula))",false
102024,102094,,,-1,-1,"             Weiß nur so viel,","daß sein Namen              Johann, und er ein unecht Kind des Rupert",",              – Daß er den R",21,"transfer(jeronimus, [sylvester, agnes], child_of(johann, rupert))",false
154154,154192,Zweite Szene,Zweite Szene,-1,-1,"    JERONIMUS.            Ei,",daß sie sich so treu wie Engel lieben.,"EUSTACHE.            Wie? Du ",22,"transfer(jeronimus, eustache, transfer(johann, jeronimus, lovers(ottokar, agnes)))",false
116506,116541,Erste Szene,Erste Szene,-1,-1,"                    OTTOKAR.","Ich weiß, daß er dich heftig liebt.","–                        ",23,"transfer(ottokar, agnes, in_love_with(johann, agnes))",false
217445,217483,,,-1,-1,"          Das ist nicht alles.",Rupert              Kennt deine Liebe,". –                      ",24,"transfer(eustache, ottakar, knowledge(rupert, lovers(ottokar, agnes)))",false
156173,156216,,,-1,-1,"das Mädchen ihm nicht weigert,",Obschon von ihrer Lieb er noch nichts weiß.,"– Wenn Rupert nur –          ",25,"transfer(jeronimus, eustache, !knowledge(sylvester, lovers(ottokar, agnes))",false
183785,183847,,,-1,-1,Weg selbst zur Versöhnung dir.,"Die Kinder lieben sich, ich habe sichre              Beweise.","–                        ",26,"transfer(eustache, rupert, lovers(ottokar, agnes))",false
281,299,Personen.,Personen.,-1,-1,"     Eustache, seine Gemahlin.","Ottokar, ihr Sohn.","Johann, Ruperts natürlicher So",27,"transfer(""Figurentafel"", audience, child_of(ottokar, eustache))",false
541,561,Personen.,Personen.,-1,-1,", Stiefschwester der Eustache.","Agnes, ihre Tochter.","Jeronimus von Schroffenstein, ",28,"transfer(""Figurentafel"", audience, child_of(agnes, sylvester))",false
121287,121330,Erste Szene,Erste Szene,-1,-1,"                     AGNES.","Wahrhaftig? Nun ich weiß auch, wer du bist!","OTTOKAR.            Nun?    ",29,"transfer(agnes, [ottokar, audience] knowledge( identity(LOVER[AGNES], ottokar))",false
47897,47919,,,-1,-1,"ter nun,              Als sie",den neugebornen Knaben,"tot              Erblickte, d",30,"transfer(sylvester, audience, child_of(CHILD(EUSTACHE), eustache)) ",false
251499,251523,,,-1,-1,"              Lustig, Alter!",Sie ist's! 's ist Agnes!,"SYLVESTER            bedeckt ",31,"transfer(johann, [sylvius, sylvester, rupert, gertrude, eustache], identity(COSTUME[OTTOKAR], agnes))",false
121201,121231,Erste Szene,Erste Szene,-1,-1,"                    OTTOKAR.","Nun, ich will's nicht leugnen.","–                        ",32,"transfer( ottokar, [agnes, audience], knowledge(ottokar, identity(LOVER[OTTOKAR], agnes)))",false
249572,249737,,,-1,-1,"                    SYLVIUS.","Das ist nicht Agnes!              – Das wäre Agnes, Knabe? Agnes' Kleid,              Nicht Agnes! Nein bei meinem ew'gen Leben,              Das ist nicht Agnes!","JOHANN            die Leiche ",33,"transfer(sylvius, [johann, sylvester, gertrude, eustache, rupert], identity(COSTUME[AGNES], ottokar))",false
97596,97649,,,-1,-1,"hien's fast, wie im Wahnsinn –","sprach              Von Liebe, daß er mich vergöttre",– nannte              Bald ei,34,"transfer(agnes, [sylvester, jeronimus, gertrude], in_love_with(johann, agnes))",false
502,530,Personen.,Personen.,-1,-1,"Gertrude, Sylvesters Gemahlin,",Stiefschwester der Eustache.,"Agnes, ihre Tochter.         ",35,"transfer(""Figurentafel"", audience, stepsiblings(gertrude, eustache))",false
69576,69582,,,-1,-1,"                    OTTOKAR.",Maria!,"Willst du nicht besser von   ",36,"transfer(ottokar, [audience, agnes], has_name(agnes, ""Maria""))",false
