begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
234447,234530,Erste Szene,Erste Szene,-1,-1,ie kommen! Ritter! Sie kommen!,"Ottokar wirft schnell Agnes' Oberkleid über, und setzt ihren Hut              auf.",AGNES.            Wer soll de,24,"transfer(""Verkleidung"", [audience, barnabe, agnes], identity(ottokar, COSTUME[AGNES]))",false
51551,51572,,,-1,-1,"n,              Dir wegen des",an seinem Sohne Peter,Verübten Mords den Frieden auf,25,"transfer(aldoebern, audience, child_of(""Peter"", rupert))",false
102024,102094,,,-1,-1,"             Weiß nur so viel,","daß sein Namen              Johann, und er ein unecht Kind des Rupert",",              – Daß er den R",26,"transfer(jeronimus, [sylvester, gertrud, agnes], child_of(johann, rupert))",false
548,560,Personen.,Personen.,-1,-1,"der Eustache.          Agnes,",ihre Tochter,.          Jeronimus von Schr,27,"transfer(""Figurentafel"", audience, child_of(agnes, sylvester))",false
92025,92039,,,-1,-1,"   Es folgt dir ja kein Feind,",ich liebe dich,",              Ach, lieben! I",28,"transfer(johann, agnes, in_love_with(johann, agnes))",false
67205,67267,,,-1,-1,"chts Böses bin ich mir bewußt,",ich fühle              Du gehst mir über alles Glück der Welt,Und nicht ans Leben bin ich so,29,"transfer(ottokar, [audience, agnes], in_love_with(ottokar, agnes))",false
32634,32914,,,-1,-1,"                  JERONIMUS.","Ich weiß, was dich so zäh macht in dem Argwohn.              's ist wahr, und niemals werd ich's leugnen, ja,              Ich hatt das Mädel mir zum Weib erkoren.              Doch eh ich je mit Mördern mich verschwägre,              Zerbreche mir die Henkershand das Wappen.",OTTOKAR            fällt Jero,30,"transfer(jeronimus, [ottokar, audience], !in_love_with(jeronimus, agnes))",false
7579,7589,,,-1,-1,"o, meinst du, soll ich warten,",Peters Tod,"Nicht rächen, bis ich Ottokars",31,"transfer(rupert, audience, has_name(CHILD[EUSTACHE], ""Peter""))",false
123641,123700,,,-1,-1,"                     AGNES.","Ganz deine, in der grenzenlosesten              Bedeutung.","OTTOKAR.                   ",32,"transfer(agnes, [ottokar, audience], in_love_with(agnes, ottokar))",false
290,298,Personen.,Personen.,-1,-1,"e Gemahlin.          Ottokar,",ihr Sohn,".          Johann, Ruperts na",33,"transfer(""Figurentafel"", audience, child_of(ottokar, rupert))",false
197835,197843,Dritte Szene,Dritte Szene,-1,-1,"                    BARNABE.",Barnabe.,"OTTOKAR.                   ",34,"transfer(barnabe, ottokar, has_name(HEXE, barnabe))",false
75041,75078,,,-1,-1,"te dein Gemüt so häßlich sein,","Da du doch Agnes, Agnes lieben kannst","!                        ",35,"transfer(ottokar, audience, in_love_with(johann, agnes))",false
