begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
432,441,Personen.,Personen.,-1,-1," Warwand.          Sylvester,",sein Sohn,", regierender Graf.          ",0,"transfer(""Figurentafel"", audience, child_of(sylvester, sylvius))",false
156173,156215,,,-1,-1,"das Mädchen ihm nicht weigert,",Obschon von ihrer Lieb er noch nichts weiß,".              – Wenn Rupert ",1,"transfer(jeronimus, eustache, !knowledge(sylvester, lover(ottokar, agnes)))",false
40797,40860,,,-1,-1,"          Wie du nur sprichst!","Sie haben dir den Enkel,              Den Bruder mir vergiftet",", und das sollen             ",2,"transfer(agnes, audience, siblings(agnes, ""Phillipp""))",false
234093,234185,,,-1,-1,"            der vor ihr steht.","Wer würde glauben, daß der grobe Mantel              So Zartes deckte, als ein Mädchenleib!",Drück ich dir noch den Helm au,3,"transfer(""Verkleidung"", [audience, ottokar, barnabe], identity(agnes, COSTUME[OTTOKAR]))",false
30919,31119,,Erste Szene,-1,-1,bereilt hast du die Auflösung.,"Nicht wahr, das Mädchen, dessen Schleier hier,              Ist Agnes nicht, nicht Agnes Schroffenstein?                                         JOHANN.            Ich sag dir ja, sie ist es.",OTTOKAR.            O mein Go,4,"transfer(johann, [ottokar, audience], identity(LOVER[OTTOKAR], agnes), suspicion)",false
842,854,Personen.,Personen.,-1,-1,"äberswitwe.          Barnabe,",ihre Tochter,.          Eine Kammerjungfer,5,"transfer(""Figurentafel"", audience, child_of(barnabe, ursula))",false
290,298,Personen.,Personen.,-1,-1,"e Gemahlin.          Ottokar,",ihr Sohn,".          Johann, Ruperts na",6,"transfer(""Figurentafel"", audience, child_of(ottokar, eustache))",false
481,500,Personen.,Personen.,-1,-1,"nder Graf.          Gertrude,",Sylvesters Gemahlin,", Stiefschwester der Eustache.",7,"transfer(""Figurentafel"", audience, spouses(sylvester, gertrude))",false
217445,217484,,,-1,-1,"          Das ist nicht alles.",Rupert              Kennt deine Liebe.,"–                        ",8,"transfer(eustache, ottokar, knowledge(rupert, in_love_with(ottokar, agnes)))",false
97596,97649,,,-1,-1,"hien's fast, wie im Wahnsinn –","sprach              Von Liebe, daß er mich vergöttre",– nannte              Bald ei,9,"transfer(agnes, [sylvester, gertrud, jeronimus], transfer(johann, agnes, in_love_with(johann, agnes)))",false
183785,183807,,,-1,-1,Weg selbst zur Versöhnung dir.,Die Kinder lieben sich,", ich habe sichre            ",10,"transfer(eustache, rupert, lovers(ottokar, agnes))",false
121457,121484,Erste Szene,Erste Szene,-1,-1,"                     AGNES.",Ottokar von Schroffenstein.,"OTTOKAR.                   ",11,"transfer(agnes, [audience, ottokar], knowledge(agnes, identity(LOVER[AGNES], agnes)))",false
116506,116543,Erste Szene,Erste Szene,-1,-1,"                    OTTOKAR.","Ich weiß, daß er dich heftig liebt. –",AGNES.            Mich liebt.,12,"transfer(ottokar, agnes, in_love_with(johann, agnes))",false
249572,249737,,,-1,-1,"                    SYLVIUS.","Das ist nicht Agnes!              – Das wäre Agnes, Knabe? Agnes' Kleid,              Nicht Agnes! Nein bei meinem ew'gen Leben,              Das ist nicht Agnes!","JOHANN            die Leiche ",13,"transfer(sylvius, [johann, sylvester, eustache, rupert, gertrude], identity(COSTUME[AGNES], ottokar))",false
255,269,Personen.,Personen.,-1,-1,"e Rossitz.          Eustache,",seine Gemahlin,".          Ottokar, ihr Sohn.",14,"transfer(""Figurentafel"", audience, spouses(eustache, rupert))",false
318,342,Personen.,Personen.,-1,-1,"r, ihr Sohn.          Johann,",Ruperts natürlicher Sohn,".          Sylvius, Graf von ",15,"transfer(""Figurentafel"", auidence, child_of(johann, rupert))",false
251499,251523,,,-1,-1,"              Lustig, Alter!",Sie ist's! 's ist Agnes!,"SYLVESTER            bedeckt ",16,"transfer(johann, [sylvius, sylvester, eustache, gertrude], identity(COSTUME[OTTOKAR], agnes))",false
93286,93328,,,-1,-1,"                     AGNES.","Errettet mich,              Ihr Heiligen!","JOHANN.                    ",17,"transfer(agnes, [audience, johann], !in_love_with(agnes, johann))",false
502,529,Personen.,Personen.,-1,-1,"Gertrude, Sylvesters Gemahlin,",Stiefschwester der Eustache,".          Agnes, ihre Tochte",18,"transfer(""Figurentafel"", audience, stepsiblings(gertrude, eustache))",false
4437,4463,Erste Szene,Erste Szene,-1,-1,"                     RUPERT.",Und Mutter auch des Toten.,"EUSTACHE.            O Gott! ",19,"transfer(rupert, audience, child_of(CHILD[EUSTACHE], eustache))",false
69576,69582,,,-1,-1,"                    OTTOKAR.",Maria!,"Willst du nicht besser von   ",20,"transfer(ottokar, audience, has_name(agnes, ""Maria""))",false
121201,121233,Erste Szene,Erste Szene,-1,-1,"                    OTTOKAR.","Nun, ich will's nicht leugnen. –",AGNES.            Wahrhaftig?,21,"transfer(ottokar, [audience, agnes], knowledge(ottokar, identity(LOVER[OTTOKAR, agnes)))",false
548,560,Personen.,Personen.,-1,-1,"der Eustache.          Agnes,",ihre Tochter,.          Jeronimus von Schr,22,"transfer(""Figurentafel"", auidence, child_of(agnes, gertrude))",false
154150,154192,Zweite Szene,Zweite Szene,-1,-1,"                  JERONIMUS.","Ei, daß sie sich so treu wie Engel lieben.","EUSTACHE.            Wie? Du ",23,"transfer(jeronimus, eustache, transfer(johann, jeronimus, lovers(ottokar, agnes)))",false
