begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
182933,183022,Zehnte Szene,Zehnte Szene,-1,-1,"                    LÄUFFER.",Laß mich deinen mutwilligen Mund mit meinen Lippen zuschließen! Küßt                sie.,"O Lise! Wenn du wüßtest, wie u",0,"transfer(laeuffer, [lise, audience], in_love_with(laeuffer, lise))",false
293,316,Personen.,Personen.,-1,-1,Bruder.          Die Majorin.,"Gustchen, ihre Tochter.",Fritz von Berg.          Graf,1,"transfer(""Figurentafel"", audience, child_of(gustchen, [major, majorin]))",false
26446,27582,Sechste Szene,Sechste Szene,-1,-1,", zu früh Gustchen, mein Kind.","Du              hast noch nicht kommuniziert. – Denn warum soll ich euch verhehlen, daß ich euch              zugehört habe. – Das war ein sehr einfältig Stückchen von euch beiden; besonders von              dir, großer vernünftiger Junker Fritz, der bald einen Bart haben wird wie ich und eine              Perücke aufsetzen und einen Degen anstecken. Pfui, ich glaubt einen vernünftigern Sohn              zu haben. Das macht dich gleich ein Jahr jünger und macht, daß du länger auf der              Schule bleiben mußt. Und Sie, Gustchen, auch Ihnen muß ich sagen, daß es sich für Ihr              Alter gar nicht mehr schickt, so kindisch zu tun. Was sind das für Romane, die Sie da              spielen? Was für Eide, die Sie sich da schwören, und die ihr doch alle beide so gewiß              brechen werdet als ich itzt mit euch rede. Meint ihr, ihr seid in den Jahren, Eide zu              tun, oder meint ihr, ein Eid sei ein Kinderspiel, wie es das Versteckspiel oder die              blinde Kuh ist? Lernt erst einsehen, was ein Eid ist: lernt erst zittern dafür, und              alsdenn wagt's, ihn zu schwören.","Wißt, daß  ein Meineidiger die",2,"transfer(geheimer_rat, [gustchen, fritz], knowledge(geheimer_rat, lovers(gustchen, fritz)))",false
198715,198763,Letzte Szene,Letzte Szene,-1,-1,st du? He! Geheimer Rat kömmt.,"Hier ist mein Kind,              mein Großsohn.",Wo ist Gustchen? Mein allerlie,3,"transfer(major, [geheimer_rat, audience], grandparent_of(major, CHILD(PARENT)))",false
7044,7053,Dritte Szene,Dritte Szene,-1,-1," ... Läuffer! nicht furchtsam!",Mein Sohn,ist buschscheu genug; wenn der,4,"transfer(majorin, audience, child_of(CHILD[MAJOR], majorin))",false
183125,183154,Zehnte Szene,Zehnte Szene,-1,-1,"                     LISE.","O pfui, Herr, was machen Sie?",LÄUFFER.            Noch einm,5,"transfer(lise, [laeuffer, audience], !in_love_with(lise, laeuffer))",false
820,857,Personen.,Personen.,-1,-1,"r alte Läuffer, Stadtprediger.","Leopold, Junker des Majors, ein Kind.","Herr Rehaar, Lautenist.      ",6,"transfer(""Figurentafel"", audience, audience, child_of(""Leopold"", major))",false
11820,11876,Dritte Szene,Dritte Szene,-1,-1,"                     GRAF.","Ich glaube, sein Vater ist der Prediger hier aus dem Ort","...                      ",7,"transfer(graf_wermuth, majorin, parent_of(pastor, laeuffer), suspicion))",false
902,932,Personen.,Personen.,-1,-1,"       Herr Rehaar, Lautenist.","Jungfer Rehaar, seine Tochter.","Erster Akt                 ",8,"transfer(""Figurentafel"", audience, chld_of(jungfer_rehaar, rehaar))",false
24574,25276,Fünfte Szene,Fünfte Szene,-1,-1,"un sag, was soll ich schwören?","GUSTCHEN.            Daß du in drei Jahren von der Universität zurückkommen willst und dein Gustchen zu              deiner Frau machen; dein Vater mag dazu sagen, was er will.                              FRITZ.            Und was willst du mir dafür wieder schwören, mein engliches ...            Küßt sie.                              GUSTCHEN.            Ich will schwören, daß ich in meinem Leben keines andern Menschen Frau werden will              als deine, und wenn der Kaiser von Rußland selber käme.                              FRITZ.            Ich schwör dir hunderttausend Eide – Der geheime Rat tritt herein: beide                springen mit lautem Geschrei auf.",Sechste Szene          Geheim,9,"transfer(""Schwur"", audience, lovers(fritz, gustchen))",false
777,809,Personen.,Personen.,-1,-1,ise.          Der alte Pätus.,"Der alte Läuffer, Stadtprediger.","Leopold, Junker des Majors, ei",10,"transfer(""Figurentafel"", audience, parent_of(pastor, laeuffer))",false
19702,19717,Vierte Szene,Vierte Szene,-1,-1,"     soll drein fahren. – Aber",mit der Tochter,nehm Er sich in Acht; die Frau,11,"transfer(major, laeuffer, child_of(DAUGHTER(MAJOR), major))",false
17333,17353,Vierte Szene,Vierte Szene,-1,-1," Er doch              einmal:",ich hab eine Tochter,", das mein Ebenbild ist, und d",12,"transfer(major, laeuffer, child_of(CHILD[MAJOR], major))",false
139528,139619,Sechste Szene,Sechste Szene,-1,-1,ist das auch honett gehandelt?,"Sind mir gestern zum Fenster hineingestiegen, in meiner              Tochter Schlafkammer.","PÄTUS.            Was denn, V",13,"transfer(rehaar, [paetus, fritz], lovers[paetus, jungfer_rehaar), suspicion)",false
68772,68801,Fünfte Szene,Fünfte Szene,-1,-1,", was              ich leide.",Küßt Läuffers Hand inbrünstig,". O göttlicher Romeo!        ",14,"transfer(""Inbrünstiger Kuss"", audience, in_love_with(gustchen, laeuffer))",false
183262,183296,Zehnte Szene,Zehnte Szene,-1,-1,al und denn ewig nicht wieder!,Küßt sie. Wenzeslaus tritt herein.,WENZESLAUS.            Was is,15,"transfer(""Kuss"", wenzeslaus, in_love_with(laeuffer, lise))",false
66803,66811,Fünfte Szene,Fünfte Szene,-1,-1,"auch böse wirst, Herrmannchen!",Küßt sie,". O Tod! Tod! warum          ",16,"transfer(""Kuss"", audience, in_love_with(laeuffer, gustchen))",false
186959,187138,Zehnte Szene,Zehnte Szene,-1,-1,h laß einmal nicht von ihm ab.,"Nehmen              Sie mir das Leben; ich lasse nicht ab von ihm. Ich hab ihn gern und mein Herz sagt              mir, daß ich niemand auf der Welt so gern haben kann als ihn.",WENZESLAUS.            So – d,17,"transfer(lise, [laeuffer, wenzeslaus, audience], in_love_with(lise, laeuffer)) ",false
134099,134740,Sechste Szene,Sechste Szene,-1,-1,"                     FRITZ.","So bist du doch zum Fenster hineingestiegen und  die Nachbarn haben's              gesehen, meinst du, ihre Zunge wird so verschämt sein, wie deine Hand vielleicht              gewesen ist? Ich kenne dich, ich weiß, so dreust du scheinst, bist du doch blöde              gegen's Frauenzimmer, und darum lieb ich dich: aber wenn's auch nichts mehr wäre, als              daß das Mädchen ihren guten Namen verliert, und eine Musikantentochter dazu, ein              Mädchen, das alles von der Natur empfing, vom Glück nichts; der ihre einzige              Aussteuer, ihren guten Namen, zu rauben – du hast sie unglücklich gemacht, Pätus.",–            Herr Rehaar komm,18,"transfer(fritz, paetus, lovers[paetus, jungfer_rehaar), suspicion)",false
