begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
221,276,Dramatis Personae.,Dramatis Personae.,-1,-1,sonae.          Klytämnestra.,"Elektra,            Chrysothemis,            Töchter.","Ägisth.          Orest.     ",0,"transfer(""Figurentafel"", audience, child_of(chrysothemis, klytaemnestra))",false
221,276,Dramatis Personae.,Dramatis Personae.,-1,-1,sonae.          Klytämnestra.,"Elektra,            Chrysothemis,            Töchter.","Ägisth.          Orest.     ",1,"transfer(elektra, audience, spouses(klytaemnestra, aegisth))",false
72574,72721,,,-1,-1,"            hier aus dem Haus?","bist eine von den Mägden            des Hauses?                                 ELEKTRA.                     Ja, ich diene hier im Haus.",Du aber hast hier nichts zu sc,2,"transfer(elektra, orest, identity(elektra, ""Magd""), lie)",false
76434,76561,,,-1,-1,"                  ELEKTRA.",Verwandt? ich bin dies Blut! ich bin das hündisch            vergoßne Blut des Königs Agamemnon!            Elektra heiß ich.,"OREST.          Nein!       ",3,"transfer(elektra, orest, identity(""Magd"", elektra))",false
80700,81573,[Stücktext],[Stücktext],-1,-1,acht in diesem Haus verbringt.,"OREST.                     Bei meines Vaters Leichnam! dazu kam            das Kind ins Haus, damit noch diese Nacht            die sterben, welche sterben sollen –                                 ELEKTRA          von seinem Ton getroffen.                     Wer            bist du?                   Der alte finstre Diener stürzt aus dem Hof lautlos herein, wirft sich vor Orest            nieder, küßt seine Füße, rafft sich auf, angstvoll um sich schauend, und stürzt lautlos            wieder ab.                        ELEKTRA          kaum ihrer mächtig.          Wer bist du denn? Ich fürchte mich.                        OREST          sanft.                     Die Hunde auf dem Hof erkennen mich,            und meine Schwester nicht?                                 ELEKTRA          schreit auf.          Orest!","OREST          fieberhaft.  ",4,"transfer(orest, elektra, identity(""Fremder"", orest))",false
7847,7856,,,-1,-1,"     Allein! Weh, ganz allein.",Der Vater,"fort,            hinabgescheu",5,"transfer(orest, audience, has_name(PARENT[ELEKTRA], ""Agamemnon""))name(PARENT[ELEKTRA], ""Agamemnon""))ter",false
60355,60374,,,-1,-1,h            hingehen und das,Weib und ihren Mann,"erschlagen.                ",6,"transfer(elektra, audience, spouses(klytaemnestra, aegisth))",false
10135,10150,,,-1,-1,"nd wir,            dein Blut,",dein Sohn Orest,"und deine Töchter,           ",7,"transfer(elektra, audience, child_of(orest, PARENT_OF[ELEKTRA]))",false
76263,76351,,,-1,-1,"n nicht anders, als zu denken:","du            muß ein verwandtes Blut zu denen sein,            die starben, Agamemnon","und Orest.                 ",8,"transfer(orest, audience, has_name(PARENT[ELEKTRA], ""Agamemnon""))",false
29979,30000,,,-1,-1,"h kränkt            zu sehen,","daß Ägisth, dein Mann",", die alten Mäntel           ",9,"transfer(elektra, audience, spouses(klytaemnestra, aegisth))",false
