begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
51469,51527,Zweite Szene,Zweite Szene,-1,-1,"            väterlichen Haine,",in den Armen meiner Amalia lockt mich ein edler Vergnügen.,Schon              die vorige,0,"transfer(karl_von_moor, [spiegelberg, audience] in_love_with(karl_von_moor, amalia))",false
180916,180927,Dritter Akt,Dritter Akt,-1,-1,gezogenem              Degen.,Dritter Akt,"Erste Szene                ",1,Dritter Akt,false
277599,277628,Fünfte Szene,Fünfte Szene,-1,-1,"   springt erschrocken zurück.",Das ist meines Vaters Stimme!,DER ALTE MOOR.            Hab,2,"transfer(karl_von_moor, audience, identity(STIMME-AUS-SCHLOSS, der_alte_moor))",false
77736,77749,Dritte Szene,Dritte Szene,-1,-1," Welt              gestehen –",ich lieb ihn!,FRANZ.            Unmenschlic,3,"transfer(amalia, [franz_von_moor, audience], in_love_with(amalia, karl_von_moor))",false
10020,10025,document,document,-1,-1,"an, regierender Graf von Moor.","Karl,","Franz,          seine Söhne. ",4,"transfer(""Figurentafel"", audience, child_of(karl_von_moor, der_alte_moor))",false
228865,228980,Zweite Szene,Zweite Szene,-1,-1,"                     FRANZ","blaß.            Hat er, hat er wirklich? Wie, so laß mich doch hören! Er sagte, er sei mein              Bruder?","DANIEL            betroffen. ",5,"transfer(franz_von_moor, [daniel, audience], identity(""Graf von Brand"", karl_von_moor), suspicion)",false
183456,183492,Erste Szene,Erste Szene,-1,-1,"ßt, was du unserm Hause warst,",du wardst gehalten wie Moors Tochter,",              selbst den Tod",6,"transfer(franz_von_moor, audience, fosterparent_of(der_alte_moor, amalia))",false
84005,84031,Dritte Szene,Dritte Szene,-1,-1,"                     AMALIA.","O nein, das taten sie nie!","FRANZ.            Ach, sie st",7,"transfer(amalia, [audience, franz_von_moor], !in_love_with(amalia, franz_von_moor))",false
284734,284758,Fünfte Szene,Fünfte Szene,-1,-1,"t – oh seht doch, seht doch! –",es ist mein eigner Vater,", ich              wills nur ",8,"transfer(karl_von_moor, [schweizer, die_raeuber], parent_of(der_alte_moor, karl_von_moor))",false
252682,252698,Vierte Szene,Vierte Szene,-1,-1,"e, das Ihnen so gleich kommt –",das ich so liebe,–            Moor sieht zur E,9,"transfer(amalia, ""Graf von Brand"", in_love_with(amalia, karl_von_moor))",false
76451,76490,Dritte Szene,Dritte Szene,-1,-1,"                     FRANZ.","Ich liebe dich wie mich selbst, Amalia!",AMALIA.            Wenn du mi,10,"transfer(franz_von_moor, [audience, amalia], in_love_with(franz_von_moor, amalia))",false
215011,215082,Erste Szene,Erste Szene,-1,-1,"                   KOSINSKY.","Ihr seid der Graf von Brand, kommt aus Mecklenburg, ich Euer Reutknecht","– sorgt              nicht, i",11,"transfer(kosinsky, audience, identity(karl_von_moor, ""Graf von Brand""))",false
238936,238982,Dritte Szene,Dritte Szene,-1,-1," erschrickt, faßt sich, fremd.","Freund, was sagst du? Ich verstehe dich nicht.","DANIEL.            Ja, leugne",12,"transfer(karl_von_moor, [daniel, audience], !identity(""Graf von Brand"", karl_von_moor))",false
333849,333863,Zweite Szene,Zweite Szene,-1,-1,".            Sie vergibt mir,",sie liebt mich,"! Rein bin ich wie der Äther d",13,"transfer(karl_von_moor, die_raeuber, in_love_with(amalia, karl_von_moor))",false
238733,238842,Dritte Szene,Dritte Szene,-1,-1,"                     DANIEL.","Ich muß! Er greift sie, betrachtet sie schnell und fällt vor ihm                nieder. Lieber, bester Karl!","MOOR            erschrickt, f",14,"transfer(daniel, audience, knowledge(daniel, identity(""Graf von Brand"", karl_von_moor))",false
10036,10041,document,document,-1,-1,"Moor.                 Karl,",Franz,",          seine Söhne.     ",15,"transfer(""Figurentafel"", audience, child_of(franz_von_moor, der_alte_moor))",false
209998,210068,Zweite Szene,Zweite Szene,-1,-1,"Trauring von  meiner Hand, und",übermorgen sollte ich meine Amalia vor den              Altar führen.,"Moor steht schnell auf.      ",16,"transfer(kosinsky, [karl_von_moor, schweizer], engaged(kosinsky, ""Amalia""))",false
221584,221615,Zweite Szene,Zweite Szene,-1,-1,"                     MOOR.","Sie liebt mich, Sie liebt mich!",– ihr ganzes Wesen fing an sic,17,"transfer(karl_von_moor, audience, in_love_with(amalia, karl_von_moor))",false
243302,243385,Dritte Szene,Dritte Szene,-1,-1,"        fällt ihm um den Hals.","Ja! Daniel, ich wills nicht mehr verhehlen! Ich bin dein Karl, dein verlorner Karl!","Was macht meine Amalia?      ",18,"transfer(karl_von_moor, [daniel, audience] identity(""Graf von Brand"", karl_von_moor))",false
331531,331573,Zweite Szene,Zweite Szene,-1,-1,Retter sind Räuber und Mörder!,Dein Karl ist ihr              Hauptmann!,Der alte Moor gibt seinen Geis,19,"transfer(karl_von_moor, der_alte_moor, identity(FREMDER-RETTER, karl_von_moor))",false
277559,277628,Fünfte Szene,Fünfte Szene,-1,-1,"                      MOOR",springt erschrocken zurück.            Das ist meines Vaters Stimme!,DER ALTE MOOR.            Hab,20,"transfer(""Stimme"", karl_von_moor, identity(STIMME-AUS-SCHLOSS, der_alte_moor))",false
