begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
47317,47350,,,-1,-1,"  Frieden auf mich niedertaut.","Ja, du bists, du bists, Geliebte!","BERTHA.                    ",0,"transfer(jaromir [audience, bertha], in_love_with(jaromir, bertha))",false
24853,25021,,,-1,-1,"                  GÜNTHER.","Saht ihr nie ihr Bild im Saale,            Euch so ähnlich, gnädges Fräulein,            Gleich als hättet ihr dem Maler,            Lieblich wie ihr seid, gesessen?","BERTHA.                    ",1,"transfer(guenther, [bertha, audience], identity(RELATIVE, ahnfrau_gestalt), suspicion)",false
13140,13213,,,-1,-1,"Und mein Vater, für das alles,","Was er erst für mich getan,            Konnt ich wen'ger als ihn lieben?",GRAF.          Und ihr saht e,2,"transfer(bertha, [der_graf, audience] in_love_with(bertha, jaromir))",false
176478,176508,Fünfter Aufzug,Fünfter Aufzug,-1,-1,"          mit dumpfer Stimme.",Ich bin deine Schwester nicht.,"JAROMIR.                   ",3,"transfer(FRAU-AUF-FRIEDHOF, jaromir, !identity(FRAU-AUF-FRIEDHOF, bertha))",false
6859,6868,,,-1,-1," war unsre Ehe            Und",ein Knabe,und ein Mädchen            Sp,4,"transfer(der_graf, audience, parent_of(der_graf, CHILD_OF(DER_GRAF))",false
35777,35895,,,-1,-1,"                   BERTHA.","Ja, er ists, er ists, mein Vater!            Ja, er ists, der mich gerettet,            Ja, er ists, der teure Mann!",GRAF.                     Z,5,"transfer(bertha, [der_graf, audience] identity(LOVER[BERTHA], jaromir)",false
180136,180163,,,-1,-1,"                  AHNFRAU.",Deine Bertha bin ich nicht!,"Bin die Ahnfrau deines Hauses,",6,"transfer(FRAU-AUF-FRIEDHOF, jaromir, !identity(FRAU-AUF-FRIEDHOF, bertha))",false
42833,43145,,,-1,-1,"                  JAROMIR.","Ach, da bist du ja, du Holde!            Ich bins, Teure, zürne nicht!            Wink mich nicht so kalt von dir,            Gönne dem gepreßten Herzen            Die so lang entbehrte Lust,            An der engelreinen Brust,            Aus den himmelklaren Augen            Trost und Ruhe einzusaugen!",Die Gestalt tritt aus der Türe,7,"transfer(jaromir, BERTHA-ÄHNLICHE, in_love_with(jaromir, BERTHA-ÄHNLICHE))",false
101398,101421,,,-1,-1,"ins den Mörder: Bruder nennen,",Bin der Räuber Jaromir!,"BERTHA.          Weh mir, weh",8,"transfer(jaromir, [bertha, audience], identity(""Räuber"", jaromir)",false
43167,43178,Zweiter Aufzug,Zweiter Aufzug,-1,-1,"   Trost und Ruhe einzusaugen!",Die Gestalt,"tritt aus der Türe, die sich h",9,"transfer(""Nebentext"", audience, identity(""Bertha"", ahnfrau_gestalt))",false
137146,137162,Vierter Aufzug,Vierter Aufzug,-1,-1,"   GRAF.          Ach es war,",es war mein Sohn,"!                        ",10,"transfer(der_graf, [boleslav, hauptmann, soldat], identity(KIND-IM-WALD, CHILD[DER_GRAF]))))",false
6134,6145,,,-1,-1," Mund zu Mund,            Daß",die Ahnfrau,"unsers Hauses,            Ob ",11,"transfer(der_graf, [bertha, audience] relatives([bertha, der_graf], RELATIVE))",false
138152,138179,,,-1,-1," Bald vergaß er euch und sich,",Und er ehrt als Vater mich.,GRAF.                     G,12,"transfer(boleslav, [der_graf, guenther, hauptmann, soldat, bertha, audience], fosterparent_of(boleslav, CHILD[DER_GRAF]))",false
97216,97229,Dritter Aufzug,Dritter Aufzug,-1,-1,"                    BERTHA",es erkennend.,Ha!          Sie läßt ihr Sch,13,"transfer(""Schärpe"",[bertha, audience], identity(""Räuber"", jaromir), suspicion)",false
64802,64830,Zweiter Aufzug,Zweiter Aufzug,-1,-1,"                     GRAF.","Ja, es ist mein einzig Kind.","HAUPTMANN.                 ",14,"transfer(der_graf, hauptmann, child_of(bertha, der_graf))",false
180176,180205,,,-1,-1,"   Deine Bertha bin ich nicht!",Bin die Ahnfrau deines Hauses,",            Deine Mutter, Sü",15,"transfer(""Bertha"", jaromir, identity(""FRAU-AUF-FRIEDHOF"", ahnfrau_gestalt))",false
159481,159549,,,-1,-1," Stolz sieh auf den Boden hin,","Du trittst deiner Väter erbe,            Bist ein Graf von Borotin!",JAROMIR          zusammenfahr,16,"transfer(boleslav, jaromir, child_of(jaromir, der_graf))",false
192,205,Personen.,Personen.,-1,-1," von Borotin          Bertha,",seine Tochter,"Jaromir          Boleslav   ",17,"transfer(""Figurentafel"", audience, child_of(bertha, der_graf))",false
154615,154653,Fünfter Aufzug,Fünfter Aufzug,-1,-1,"                 BOLESLAV.","Nein, mein Sohn, nicht mehr mein Sohn.","JAROMIR.                   ",18,"transfer(boleslav, jaromir, !parent_of(boleslav, jaromir))",false
176319,176335,,,-1,-1,"gen, du seist meine Schwester!",Meine Schwester!,"– Lache Mädchen,            L",19,"knowledge(jaromir, identity(FRAU-AUF-FRIEDHOF))",false
65349,65373,,,-1,-1," Dankt sie nur dem kühnen Mute",Ihres wackern Bräutigams,"Jaromir von Eschen hier.     ",20,"transfer(der_graf, hauptmann, engaged(bertha, jaromir))",false
139528,139541,Vierter Aufzug,Vierter Aufzug,-1,-1,"                 BOLESLAV.","Derselbe, ja!",GRAF.                     T,21,"transfer(boleslav, [der_graf,guenther, hauptmann, soldat, bertha, audience], identity(CHILD[DER_GRAF], jaromir)",false
