begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
210247,210253,"e finden. Ja, Mutter! Freunde!",Gatte!,"ich werde sehen, ich
         ",0,"transfer(albertine, [audience, madame_woelbing, gehrmann, august, annchen], engaged(albertine, august))",false
95558,95597,"iten Welt kein Mädchen findet,","das
              ihn so liebt, wie ich",. Geht weinend ab in die Seite,1,"transfer(emerike, [audience, flint], in_love_with(emerike, flint))",false
135217,135237,"  
            MADAME WÖLBING.",Albertine war schön.,"AUGUST
            mit Wärme.
",2,"transfer(madame_woelbing, august, has_name(CHILD[MADAME_WOELBING], ""Albertine""))",false
199341,199589,"          
            AUGUST.","Noch nie stand ich mit diesem Gefühle der Hingebung vor einem sehenden
              Mädchen, wie ich hier vor der Erblindeten stehe. Voll
                Feuer. Mein Los ist geworfen! Mein Ideal hat Leben. Albertine!
              werden Sie mein?","ALBERTINE
            sehr ers",3,"transfer(august, [madame_woelbing, albertine], in_love_with(august, albertine))",false
206,216,"Buchhändler.
          August,",sein Neffe,".
          Flint, erster Comm",4,"transfer(""Figurentafel"", audience, nephew_of(august, gehrmann))",false
104541,104565,"  
            MADAME WÖLBING.","Eine Tochter, mein Herr.","AUGUST.
            O dann, gl",5,"transfer(madame_woelbing, august, child_of(CHILD[MADAME_WOELBING], madame_woelbing))",false
99714,99854,"          So wissen Sie denn –","der, dem Sie den Auftrag gaben, einen Andern dahin zu bringen,
              daß er Emeriken seine Hand reiche, der liebt das Mädchen selbst",".
          
          
      ",6,"transfer(flint, gehrmann, in_love_with(flint, emerike))",false
348,363,"s Mündel.
          Kunigunde,",ihre Erzieherin,".
          Herr von Giebel.
 ",7,"transfer(""Figurentafel"", audience, fosterparent_of(kunigunde, emerike))",false
302,325,"mis.
          Emerike Würzig,",Herrn Gehrmann's Mündel,".
          Kunigunde, ihre Er",8,"transfer(""Figurentafel"", audience, fosterchild_of(emerike, gehrmann))",false
91978,92003,"         
            EMERIKE.",Weil ich ihn nicht liebe.,"FLINT
            schnell ihre",9,"transfer(emerike, flint, !in_love_with(emerike, august))",false
38469,38482,"
          
            FLINT.",Konrad Flint.,"EMERIKE.
            Konrad –
",10,"transfer(flint, [audience, emerike], has_name(flint, ""Konrad Flint""))",false
