begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
40503,40599,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"ule herum, oder fielen gar zu.","Aber bey Ihnen würden sie nicht zufallen, ich              könnte Tagelang in Ihre Augen sehen.","FLINT            für sich.  ",0,"transfer(emerike, [flint, audience], in_love_with(emerike, flint), uncertain)",false
104541,104553,Achter Auftritt,Achter Auftritt,-1,-1,"             MADAME WÖLBING.",Eine Tochter,", mein Herr.               ",1,"transfer(madame_woelbing, august, child_of(madame_woelbing, CHILD[MADAME_WOELBING]))",false
206732,206862,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"                   GEHRMANN.","Er sagte mir Ihren wahren Nahmen, ich erröthete; denn unter uns, Madame, ich glaube,              daß ich gegen Ihren braven Mann","noch etwas im Rückstande bin. ",2,"transfer(gehrmann, albertine, transfer(august, gehrmann, child_of(PARENT[ALBERTINE], albertine)))",false
15772,15783,Zweyter Auftritt,Zweyter Auftritt,-1,-1,"Rosalia Meyer ihr das Liebste,",ihre Nichte,", anvertraut!              ",3,Papierkorb,false
91978,92003,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"                    EMERIKE.",Weil ich ihn nicht liebe.,FLINT            schnell ihre,4,"transfer(emerike, [flint, audience], !in_love_with(emerike, august))",false
210247,210253,Letzter Auftritt,Letzter Auftritt,-1,-1,"e finden. Ja, Mutter! Freunde!",Gatte!,"ich werde sehen, ich         ",5,"transfer(albertine, [gehrmann, audience, august, annchen, madame_woelbing], engaged(albertine, august))",false
4620,4654,Erster Auftritt,Erster Auftritt,-1,-1,"m Mädchen meine Hand zu geben,",das ich nicht              liebe.,"GEHRMANN.            Mit der ",6,"transfer(august, [audience, gehrmann], !in_love_with(august, FIANCEÉ[AUGUST]))",false
88108,88166,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"                     FLINT","ihre Hand ergreifend.            Liebes, holdes Geschöpf!",EMERIKE.            Ach! Steh,7,"transfer(flint, [emerike, audience], in_love_with(flint, emerike), uncertain)",false
92353,92750,Fünfter Auftritt,Fünfter Auftritt,-1,-1," Für sich. wie wird das enden!","EMERIKE            etwas verschämt.            Ich kenne einen Andern, den ich gerne glücklich machen möchte.                              FLINT.            Einen – Andern?                              EMERIKE.            Ja – ich kenne – sehen Sie jetzt immer ein wenig nach Ihrem Schreibtische hin, denn              ich möchte Ihnen sagen – Herzlich. daß ich Ihnen recht gut bin.",FLINT.            Emerike! Go,8,"transfer(emerike, [flint, audience], in_love_with(emerike, flint))",false
99714,99855,Sechster Auftritt,Sechster Auftritt,-1,-1,"          So wissen Sie denn –","der, dem Sie den Auftrag gaben, einen Andern dahin zu bringen,              daß er Emeriken seine Hand reiche, der liebt das Mädchen selbst.",GEHRMANN            erstaunt.,9,"transfer(flint, [gehrmann,audience], in_love_with(flint, emerike))",false
93503,93532,Fünfter Auftritt,Fünfter Auftritt,-1,-1," die Braut eines Andern, und –",ich habe nur Achtung für Sie.,"EMERIKE            seufzt.  ",10,"transfer(flint, [emerike,audience], !in_love_with(flint, emerike), lie)",false
198,217,Personen.,Personen.,-1,-1,"        Gehrmann, Buchhändler.","August, sein Neffe.","Flint, erster Commis.        ",11,"transfer(""Figurentafel"", audience, nephew_of(august, gehrmann))",false
