begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
22783,22819,,,-1,-1,ruhet besser in Vergessenheit.,Hab eines Sohnes Liebe ich verlohren,",            So hab ich die d",0,"transfer(cassandra, audience, parent_of(cassandra, CHILD[CASSANDRA]))",false
9652,9696,,,-1,-1,"änzlich von Ladikä abzuwenden,","Seit du es wissest, daß sie dich verschmäht?","LIGARES.                   ",1,"transfer(zeno, audience, !in_love_with(ladikae, ligares))",false
71906,72113,,,-1,-1,ch in mein Eigenthum gedrängt.,"Noch mehr: die Mutter selbst hat mich verrathen,            Verlassend ihren Sohn, als Säugling noch;            Verrathend ihren Gatten, der sie liebte,            Hat sie zum fremden Manne sich gewandt.",Entsetzlich ist mein Schicksal,2,"transfer(""Biografie Ligares"", cassandra, parent_of(cassandra, ligares), uncertain)",false
73078,73119,,,-1,-1,"                  LIGARES.","Mein Vater starb, Alkmenes war sein Name,",Ligares heiß' ich – aber du er,3,Papierkorb,false
72614,72821,,,-1,-1,er Götter willen! bleibe noch!,"Noch eine Frage! die ich zitternd nenne –            O Gott! wie klopft mein Herz so bang und schwer.            Ich bitte, Jüngling! sage deinen Namen            Und deines Vaters Namen; sprich ihn aus –",LIGARES.          Was kann me,4,"transfer(cassandra, audience, parent_of(cassandra, ligares), suspicion)",false
73358,73438,,,-1,-1,"                 CASSANDRA.","Ligares, du? erkenne deine Mutter;            Cassandra bin ich; o verzeihe mir",",            Verwünsche die n",5,"transfer(cassandra, ligares, parent_of(cassandra, ligares))",false
47129,47222,,,-1,-1,"bte, war ich selbst mir fremd;","Doch in Timandras hab ich mich gefunden,            Denn meiner Liebe Heimath ist sein Herz.",MANDANE.          Ich trage M,6,"transfer(ladikae, mandane, in_love_with(ladikae, timandras))",false
47129,47222,,,-1,-1,"bte, war ich selbst mir fremd;","Doch in Timandras hab ich mich gefunden,            Denn meiner Liebe Heimath ist sein Herz.",MANDANE.          Ich trage M,6,"transfer(ladikae, mandane, in_love_with(ladikae, timandras))",false
263,283,Personen.,Personen.,-1,-1,"  Cassandra, Tresaspes Wittwe.","Timandras, ihr Sohn.","Ladikä, seine Geliebte.      ",7,"transfer(""Figurentafel"", audience, child_of(timandras, cassandra))",false
36029,36175,,,-1,-1,"        Er kommt nicht – Zeno!","sage meinem Sohne,            Daß er des Feindes Leben schonen soll –            Und sag ihm, daß er seine Mutter finden –            Timandras",– ach! ich kann nicht – Lebe w,8,"transfer(magier, audience, relatives(timandras, ligares), suspicion)",false
11645,11687,,,-1,-1," o Herr! wie immer abgewiesen.",Mit deinem Feind vermählt sie morgen sich.,"LIGARES.                   ",9,"transfer(bote, [audience, zeno, ligares], engaged(likae, FIANCE[LIKAE]))",false
61975,62014,,,-1,-1,"mich, doch höre mich gelassen:",Von Liebe kann die Rede nicht mehr seyn,";             Doch sieh, von ",10,"transfer(ladikae, ligares, !in_love_with(ladikae, ligares))",false
61975,62014,,,-1,-1,"mich, doch höre mich gelassen:",Von Liebe kann die Rede nicht mehr seyn,";             Doch sieh, von ",10,"transfer(ladikae, ligares, !in_love_with(ladikae, ligares))",false
31653,31695,,,-1,-1,"on dem einzgen Sohn verlassen,",Wie einst die Gattinn treulos mich verließ,";            Es ist ihr Sohn,",11,"transfer(magier, [zeno, audience], ex-spouses(magier, SPOUSE[MAGIER]))",false
9488,9696,,,-1,-1,"                     ZENO.","Wie? hast du selbst dir heilig nicht gelobet,            Der falschen Hoffnung länger nicht zu traun?            Dich gänzlich von Ladikä abzuwenden,            Seit du es wissest, daß sie dich verschmäht?","LIGARES.                   ",12,"transfer(zeno, audience, in_love_with(ligares, ladikae))",false
31709,31724,,,-1,-1," Gattinn treulos mich verließ;",Es ist ihr Sohn,", was durft ich von ihm hoffen",13,"transfer(magier, zeno, child_of(ligares, SPOUSE[MAGIER]))",false
20863,20900,,,-1,-1,Ladikä und Mandane treten ein.,Sieh Mutter! das ist meine süße Liebe,",            Ich führ in dein",14,"transfer(timandras, cassandra, lovers(timandras, ladikae))",false
294,317,Personen.,Personen.,-1,-1,"          Timandras, ihr Sohn.","Ladikä, seine Geliebte.","Zeno, des Alkmenes Freigelasse",15,"transfer(""Figurentafel"", audience, lovers(timandras, ladikae))",false
21122,21209,,,-1,-1,"  LADIKÄ          zu Mandane.",O Himmel! sind das nicht Ligares Augen?            Mandane sieh! das ist Ligares Mund!,Es hat ein böser Geist des Jün,16,"transfer(ladikae, audience, relatives(cassandra, ligares), suspicion)",false
73358,73438,,,-1,-1,"                 CASSANDRA.","Ligares, du? erkenne deine Mutter;            Cassandra bin ich; o verzeihe mir",",            Verwünsche die n",17,"transfer(cassandra, audience, identity(CHILD[CASSANDRA], ligares))",false
43524,43539,,,-1,-1,"        Bestatte hier noch des",Alkmenes Leiche,",            Dann folgst du m",18,Papierkorb,false
224,251,Personen.,Personen.,-1,-1,"          Ligares, sein Sohn.","Cassandra, Tresaspes Wittwe",".          Timandras, ihr Soh",19,"transfer(""Figurentafel"", audience, widow_of(cassandra, ""Teraspes""))",false
75367,75459,,,-1,-1," Mutter hast du heut gefunden,",Ich führe dir noch einen Bruder zu;            Wie wird sich nicht Timandras deiner freuen.,"–                        ",20,"transfer(cassandra, ligares, siblings(ligares, timandras))",false
17354,17447,,,-1,-1,den Tag du drohend vor mir auf,"Und zeigst das Bild Alkmenes mir erzürnet,            Die Mutter hassend den verlaßnen Sohn.","Timandras kommt.           ",21,"transfer(cassandra, audience, ex-lovers(cassandra, alkmenes))",false
46737,46831,,,-1,-1,"dem Timandras ihn vergleichen,","Dem holden anmuthsvollen, süßen Freund,            Ligares, den Entsetzlichsten der Menschen?","Mir schauert, denk' ich seiner",22,"transfer(ladikae, mandane, !in_love_with(ladikae, ligares))",false
