begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
95558,95597,Sechster Auftritt,Sechster Auftritt,-1,-1,"iten Welt kein Mädchen findet,","das              ihn so liebt, wie ich",. Geht weinend ab in die Seite,0,"transfer(emerike, [audience, flint], in_love_with(emerike, flint))",false
91978,92003,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"                    EMERIKE.",Weil ich ihn nicht liebe.,FLINT            schnell ihre,1,"transfer(emerike, flint, !in_love_with(emerike, august))",false
99549,99578,Sechster Auftritt,Sechster Auftritt,-1,-1,"                     FLINT.",Auch nicht mit meinem Gefühl.,"GEHRMANN.            Wie?   ",2,"transfer(flint, audience, in_love_with(flint, emerike))",false
99714,99854,Sechster Auftritt,Sechster Auftritt,-1,-1,"          So wissen Sie denn –","der, dem Sie den Auftrag gaben, einen Andern dahin zu bringen,              daß er Emeriken seine Hand reiche, der liebt das Mädchen selbst",".                        ",3,"transfer(flint, gehrmann, in_love_with(flint, emerike))",false
5212,5224,Erster Auftritt,Erster Auftritt,-1,-1,bin ich zuvorgekommen. Sie ist,meine Mündel,", du mein Neffe; meine       ",4,"transfer(gehrmann, audience, identity(FIANCÉE[AUGUST], emerike))",false
147361,147382,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"             MADAME WÖLBING.",Herrn Gehrmanns Neffe,", der sich für die werdende Sc",5,"transfer(madame_woelbing, albertine, nephew_of(NEPHEW[GEHRMANN], gehrmann))",false
15772,15783,Zweyter Auftritt,Zweyter Auftritt,-1,-1,"Rosalia Meyer ihr das Liebste,",ihre Nichte,", anvertraut!              ",6,"transfer(gehrmann, audience, niece_of(emerike, ""Rosalia Meyer""))",false
210247,210253,Letzter Auftritt,Letzter Auftritt,-1,-1,"e finden. Ja, Mutter! Freunde!",Gatte!,"ich werde sehen, ich         ",7,"transfer(albertine, [audience, madame_woelbing, gehrmann, august, annchen], engaged(albertine, august))",false
470,482,Personen.,Personen.,-1,-1," Wölbing.          Albertine,",ihre Tochter,".          Annchen, ein Kind ",8,"transfer(""Figurentafel"", audience, child_of(albertine, madame_woelbing))",false
2270,2282,Erster Auftritt,Erster Auftritt,-1,-1,.            Durch den Wucher,ihres Vaters,"erworben.                  ",9,"transfer(august, audience, parent_of(PARENT[FIANCÉE[AUGUST]], FIANCÉE[AUGUST]))",false
206,216,Personen.,Personen.,-1,-1,"Buchhändler.          August,",sein Neffe,".          Flint, erster Comm",10,"transfer(""Figurentafel"", audience, nephew_of(august, gehrmann))",false
207438,207510,Fünfter Auftritt,Fünfter Auftritt,-1,-1,e Menschen gefunden zu haben –,und neben meiner Mutter noch              einen würdigen Mann zu lieben,". Mehr darf ich nicht.       ",11,"transfer(albertine, [audience, august, gehrmann, madame_woelbing], in_love_with(albertine, august))",false
1759,1777,Erster Auftritt,Erster Auftritt,-1,-1,"                   GEHRMANN.",Deine Braut kommt.,"AUGUST            erstaunt. ",12,"transfer(gehrmann, audience, engaged(august, FIANCÉE[AUGUST]))",false
348,363,Personen.,Personen.,-1,-1,"s Mündel.          Kunigunde,",ihre Erzieherin,".          Herr von Giebel. ",13,"transfer(""Figurentafel"", audience, fosterparent_of(kunigunde, emerike))",false
95097,95136,Sechster Auftritt,Sechster Auftritt,-1,-1,GEHRMANN            zu Flint.,"Sie liebt ihn! sehen Sie, sie liebt ihn",", und der verstockte Mensch lä",14,"transfer(gehrmann, [audience, flint], transfer(emerike, [gehrmann, flint], in_love_with(emerike, august)))",false
4620,4653,Erster Auftritt,Erster Auftritt,-1,-1,"m Mädchen meine Hand zu geben,",das ich nicht              liebe,".                        ",15,"transfer(august, [audience, gehrmann], !in_love_with(august, FIANCÉE[AUGUST]))",false
180095,180123,Sechster Auftritt,Sechster Auftritt,-1,-1,"                    EMERIKE.",Und ich will ihn auch nicht!,"Ach, ich bin so voll Freude! ",16,"transfer(emerike, gehrmann, !in_love_with(emerike, august))",false
302,325,Personen.,Personen.,-1,-1,"mis.          Emerike Würzig,",Herrn Gehrmann's Mündel,".          Kunigunde, ihre Er",17,"transfer(""Figurentafel"", audience, fosterchild_of(emerike, gehrmann))",false
153508,153539,Erster Auftritt,Erster Auftritt,-1,-1,"del – ich begreife jetzt wohl,",daß mich Herr Flint nicht liebt,".                        ",18,"transfer(emerike, [audience, kunigunde], !in_love_with(flint, emerike))",false
104541,104565,Achter Auftritt,Achter Auftritt,-1,-1,"             MADAME WÖLBING.","Eine Tochter, mein Herr.","AUGUST.            O dann, gl",19,"transfer(madame_woelbing, august, child_of(CHILD[MADAME_WOELBING], madame_woelbing))",false
135217,135237,Vierter Auftritt,Vierter Auftritt,-1,-1,"             MADAME WÖLBING.",Albertine war schön.,"AUGUST            mit Wärme. ",20,"transfer(madame_woelbing, august, has_name(CHILD[MADAME_WOELBING], ""Albertine""))",false
87020,87037,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"                    EMERIKE.",Ich heiße Emerike,"–                        ",21,"transfer(emerike, flint, has_name(FIANCÉE[AUGUST], ""Emerike""))",false
38469,38482,Fünfter Auftritt,Fünfter Auftritt,-1,-1,"                     FLINT.",Konrad Flint.,"EMERIKE.            Konrad – ",22,"transfer(flint, [audience, emerike], has_name(flint, ""Konrad Flint""))",false
