begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
182502,182506,ke auf und spricht mit Tränen.,Tot!,Der Vorhang fällt.,0,"transfer(guenther, hauptmann, dead([jaromir, bertha]))",false
147802,147859,mehr wankend auf den Tisch zu.,"Eh
            sie ihn noch erreicht, sinkt sie zu Boden.","Ende des vierten Aufzuges
    ",1,"transfer(""Nebentext"", audience, dead(bertha))",false
24853,25021,"  
        
          GÜNTHER.","Saht ihr nie ihr Bild im Saale,
            Euch so ähnlich, gnädges Fräulein,
            Gleich als hättet ihr dem Maler,
            Lieblich wie ihr seid, gesessen?","BERTHA.
          
           ",2,"transfer(guenther, [bertha, audience], identity(RELATIVE, ahnfrau_gestalt), uncertain)",false
6134,6145," Mund zu Mund,
            Daß",die Ahnfrau,"unsers Hauses,
            Ob ",3,"transfer(der_graf, [bertha, audience], relatives([bertha, der_graf], RELATIVE))",false
42833,43145,"  
        
          JAROMIR.","Ach, da bist du ja, du Holde!
            Ich bins, Teure, zürne nicht!
            Wink mich nicht so kalt von dir,
            Gönne dem gepreßten Herzen
            Die so lang entbehrte Lust,
            An der engelreinen Brust,
            Aus den himmelklaren Augen
            Trost und Ruhe einzusaugen!",Die Gestalt tritt aus der Türe,4,"transfer(jaromir, BERTHA-ÄHNLICHE, in_love_with(jaromir, BERTHA-ÄHNLICHE))",false
180136,180163,"  
        
          AHNFRAU.",Deine Bertha bin ich nicht!,"Bin die Ahnfrau deines Hauses,",5,"transfer(FRAU-AUF-FRIEDHOF, jaromir, !identity(FRAU-AUF-FRIEDHOF, bertha))",false
143469,143542,"Nimm denn auch dies Leben hin,","Es stirbt der letzte Borotin!
          
          Sinkt sterbend zurück.","GÜNTHER.
          
          ",6,"transfer(""Nebentext"", audience, murderer_of(jaromir, der_graf))",false
147268,147388,blinkt dort vom Tisch mich an?,"O ich kenn dich, schönes Fläschchen!
            Gab mirs nicht mein Bräutigam?
            Gab zum Brautgeschenke mirs.",Sprach er nicht als er mirs ga,7,"transfer(bertha, audience, murderer_of(jaromir, bertha), uncertain)",false
176319,176335,"gen, du seist meine Schwester!",Meine Schwester!,"– Lache Mädchen,
            L",8,"knowledge(jaromir, identity(FRAU-AUF-FRIEDHOF, bertha))",false
6859,6868," war unsre Ehe
            Und",ein Knabe,"und ein Mädchen
            Sp",9,"transfer(der_graf, audience, parent_of(der_graf, CHILD[DER_GRAF]))",false
137146,137162,"   GRAF.
          Ach es war,",es war mein Sohn,"!
        
        
          ",10,"transfer(der_graf, [boleslav, hauptmann, soldat], identity(KIND-IM-WALD, CHILD[DER_GRAF]))",false
147802,147859,mehr wankend auf den Tisch zu.,"Eh
            sie ihn noch erreicht, sinkt sie zu Boden.","Ende des vierten Aufzuges
    ",11,"transfer(bertha, audience, murderer_of(jaromir, bertha))",false
143426,143542,ein Sohn doch schon gerichtet!,"Nimm denn auch dies Leben hin,
            Es stirbt der letzte Borotin!
          
          Sinkt sterbend zurück.","GÜNTHER.
          
          ",12,"transfer(der_graf, [audience, guenther, bertha], dead(der_graf))",false
