begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
281492,281533,z mir vor des Himmels Pforten.,"Den König, meinen Gatten, ließ ich morden",",
              Und dem Verfüh",0,"transfer(maria, [audience, melvil], murderer_of(maria, ""König Darnley""))",false
244607,244752,ich im echten Ehebett geboren!,"Sie unterschreibt mit einem raschen, festen Federzug, läßt dann die Feder fallen,
            und tritt mit einem Ausdruck des Schreckens zurück.","Nach einer Pause klingelt
    ",1,"transfer(""Nebentext"", audience, murderer_of(elisabeth, maria), uncertain)",false
211292,211358,u dir in dein himmlisch Leben!,Er durchsticht sich mit dem Dolch und fällt der Wache in die Arme.,"Zimmer der Königin.
          ",2,"transfer(""Mortimer ersticht sich"", [audience, offizier], dead(mortimer))",false
13857,13930," ich kein Herz mir fassen kann","Elisabeth ist meines Stammes, meines
              Geschlechts und Ranges","– Ihr allein, der Schwester,
 ",3,"transfer(maria, audience, relatives(elisabeth, maria))",false
51832,51849,"        Der Würde meines Volks",und meines Sohnes,Und aller Fürsten nicht so vie,4,"transfer(maria, audience, child_of(CHILD[MARIA], maria))",false
258932,259109,"      Entehrte meine Königin –","Dann erst,
              Als sie Lord Leicesters schändlichen Verrat
              Vernahm, das unglückselige Geschick
              Des werten Jünglings, der sich ihr geopfert,",Des alten Ritters tiefen Jamme,5,"transfer(kennedy, melvil, knowledge(maria, dead(mortimer)))",false
211292,211358,u dir in dein himmlisch Leben!,Er durchsticht sich mit dem Dolch und fällt der Wache in die Arme.,"Zimmer der Königin.
          ",6,"transfer(""Mortimer ersticht sich"", [audience, offizier], murderer_of(mortimer, mortimer))",false
296716,296756,"l wird
              Gerückt –",Sie kniet aufs Kissen – legt das Haupt –,Nachdem er die letzten Worte m,7,"transfer(leicester, audience, murderer_of(maria, elisabeth))",false
153521,153642,"  Verkünderin. Ich irre nicht.","Es ist
              Der Liebe tätge Hand, der ich sie danke.
              Lord Leicesters mächtgen Arm erkenn ich drin.",Allmählich will man mein Gefän,8,"transfer(maria, audience, knowledge(maria, in_love_with(leicester, maria)))",false
193055,193064,"          
            OKELLY.",Sie lebt!,"Und ich und Ihr, wir alle sind",9,"transfer(okelly, [audience, mortimer], !murderer_of(""Sauvage"", elisabeth))",false
191366,191434,"          
            PAULET.","Von England!
              Sie ist ermordet auf der Londner Straßen!","Eilt ins Haus.
          
    ",10,"transfer(paulet, [audience, mortimer], dead(elisabeth))",false
293146,293242,"mir die Freiheit teuer machen,","An Eurer Hand, beglückt durch Eure Liebe,
              Wollt ich des neuen Lebens mich erfreun.","Jetzt, da ich auf dem Weg bin,",11,"transfer(maria, [audience, leicester], in_love_with(maria, leicester))",false
