begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
384,398,"n der Lucie.
          Robert,",Amaliens Vater,"und Freund des Sir Willhelms.
",0,"transfer(""Figurentafel"", audience, father_of(robert, amalie))",false
98812,98861,"
          
            BETTY.","Es ist zu spät, Fräulein, Amalie hat ihn gelesen.","LUCIE.
            Meine Neben",1,"transfer(betty, lucie, knowledge(amalie, in_love_with(lucie, karl)))",false
217208,217221,"rb,
              eine gewisse",Jungfer Wills,"kennen. Sie liebeten sich, und",2,"transfer(robert, [karl, lucie, amalie, betty, audience], identity(PARENT-2, ""Jungfer_Wils"")) ",false
96913,96942,"eufzet, fühle ich Elende noch,",daß ich ihn ewig lieben werde,", und
              weil ich i",3,"transfer(lucie, amalie, in_love_with(lucie, karl), already-known)",false
104086,104149," 
          
            KARL.","Für Lucien, die ich anbete, die ich mehr als meine Seele liebe.","LUCIE.
            Sie mich li",4,"transfer(karl, [audience, lucie], in_love_with(karl, lucie))",false
38076,38179,"l ist
              undankbar.","Er verläßt mich und ist bereit, eine neue Gemahlin von der Hand seines
              Vaters anzunehmen.","AMALIE.
            Vielleicht",5,"transfer(lucie, amalie, engaged(karl, FIANCÉE[KARL]))",false
78654,78680,rzeiht deiner Unverschämtheit.,"Wisse, Amalie liebet mich.","Nur noch eine kleine Zeit, so ",6,"transfer(karl, jakob, in_love_with(amalie, karl))",false
155217,155275,nen zu erhalten gesuchet habe.,"Ich bin diesen Augenblick mit
              ihr vermählet.",List und Liebe haben alle Ihre,7,"transfer(karl, [audience, robert, willhelm], spouses(lucie, karl))",false
11280,11435,"              dafür zu danken.","Sie haben mich bei der Frau Norris in allem demjenigen, was das Leben
              eines Frauenzimmers nützlich und angenehm machen kann, erziehen lassen.","Ich empfinde,
              se",8,"transfer(lucie, audience, fosterparent_of(""Frau Norris"", lucie))",false
37927,37978,"t ein Betrüger, ein Bösewicht!","Ich hasse ihn, ich hasse mich
              selbst!","Meine Kräfte reichen nicht zu,",9,"transfer(lucie, amalie, !in_love_with(lucie, karl))",false
79500,79608,iner Unruhe voll Verzweiflung.,"Bald hätte mein Vater durch meine
              Unvorsichtigkeit meine ganze Liebe mit Lucien erfahren. Aber","es ging alles gut,
           ",10,"transfer(karl, jakob, !knowledge(willhelm, in_love_with(karl, lucie)))",false
211610,211655,"für dich, wenn es Bosheit ist?","Aber
              wie, wenn es Wahrheit wäre","? Unsinnige Furcht! sie kann, ",11,"transfer(karl, audience, siblings(karl, lucie), uncertain)",false
45928,45952,"          Nebenbuhlerin darum?","Ich weiß, Karl liebt sie",", nur die Hoffnung zu mir mach",12,"transfer(amalie, audience, in_love_with(karl, lucie))",false
69833,69893,nd die Seele der Lucie heilen.,"Dein Sohn ist für meine
              Amalie allein zärtlich",", und freue dich mit mir, Will",13,"transfer(robert, willhelm, in_love_with(karl, amalie))",false
107337,107366," 
          
            KARL.","Ewig der Ihrige, meine Lucie.","Sie gehen ab.
          
     ",14,"transfer(karl, [betty, amalie, lucie], in_love_with(karl, lucie))",false
65971,66003,e hat ältere Rechte auf Karln.,"Sie liebete ihn, eh ich ihn sah.","Sie liebet ihn so stark, als i",15,"transfer(amalie, robert, in_love_with(lucie, karl))",false
39061,39089,"        Unglückliche Freundin!",du siehst sie hier vor dich.,"Zu Lucien.
              Verge",16,"transfer(amalie, lucie, identity(FIANCÉE[KARL], amalie))",false
219209,219254,"deine Schwester und noch mehr,",die Mörderin deines und ihres eigenen Vaters!,Von meiner Hand hat er Gift em,17,"transfer(lucie, [karl, amalie, robert], murderer_of(lucie, willhelm))",false
114991,115019," lieben sollte? Gütigster Sir!","Ich
              liebe sie.",Sollte ich sie nicht bloß desw,18,"transfer(karl, [willhelm, robert], in_love_with(karl, lucie))",false
189960,190030,ter an meine Brust zu drücken?,"Umarme deinen Vater, meine einzige, meine
              wahre Tochter!","– Ach, der Schmerz dringt nähe",19,"transfer(willhelm, [audience, lucie], identity(PARENT-1, willhelm), uncertain)",false
222,246,"   Willhelm Southwell, Ritter,",Vater von Karl Southwell,".
          Karl Southwell, Li",20,"transfer(""Figurentafel"", audience, father_of(willhelm, karl))",false
209460,209526,"
          
            LUCIE.",Ihre Schwester! Ha! Lucie selbst weiß ihre Laster noch nicht alle.,"Fürchterliche
              Du",21,"transfer(lucie, audience, identity(PARENT-1[LUCIE], willhelm), uncertain)",false
46543,46595,".
          
            KARL.","Was sagst du, Jakob? daß ich Lucien verlieren würde?","JAKOB.
            Daß Sie sol",22,"transfer(karl, jakob, !couple(karl, lucie))",false
169648,169730,"
          
            BETTY.","Der alte Southwell? in Sie verliebet? Wirklich, Fräulein, ich würde lachen müssen,",wenn unsere Umstände weniger g,23,"transfer(lucie, betty, !in_love_with(willhelm, lucie))",false
224311,224419,"ar in
              demselben.","Lucie bemächtigte sich heimlich eines Messers! Sie stieß es in das Herz
              dieser elenden Kreatur",und ebenso geschwind in das ih,24,"transfer(amalie, [robert, audience], dead(betty))",false
215400,215466,ls Ihren Gemahl lieben können.,"Sie sind des
              Sir Willhelms leibliche Tochter, Lucie.","Lucie und Amalie, beide in der",25,"transfer(robert, [karl, lucie, amalie, betty, audience], identity(PARENT-1, willhelm))",false
190757,190813,te Geschwätz  ganz außer sich.,"Wäre der alte
              Narr weniger verliebt in sie",", er hätte durch ihren Unsinn ",26,"transfer(betty, audience, in_love_with(willhelm, lucie), uncertain)",false
44902,44916,"h wider deinen Willen, Amalie?",Er liebet mich,". Seine
              Seufzer,",27,"transfer(amalie, audience, in_love_with(karl, amalie))",false
2465,2493,"     Wie? der Name derjenigen,",die alle deine Liebe besitzt,"? die dir ebensoviel Liebe
   ",28,"transfer(robert, audience, in_love_with(willhelm, lucie))",false
65243,65333,"er
              Freundschaft,","der Gerechtigkeit selbst bringen darf. Karls Herz kann nimmermehr mein
              sein.","ROBERT.
            Was für Du",29,"transfer(amalie, [audience, robert], !in_love_with(karl, amalie))",false
120001,120034,"tig sein
              können?",Mein Herz verdienet Amalien nicht,. Lassen Sie es der armen Luci,30,"transfer(karl, [willhelm, robert], !in_love_with(karl, amalie))",false
208059,208745,"
          
            LUCIE.","Ruchloser! Sie wissen meine Laster, meine Schande, und Sie verdoppeln noch die
              Ihrigen durch Ihre Zärtlichkeiten? Was zögern Sie? Tun Sie die einzige gute Tat, die
              Sie in Ihrem Leben können getan haben.  Stoßen Sie den Dolch in diese
              Brust, die Sie durch Ihre verfluchte Liebe zu einer Wohnung der schwärzesten Laster
              und der Qual dieser Laster gemachet haben. Hören Sie die Stimme Ihres Vaters, diese
              Stimme, die Rache wider mich verlanget, wenn Sie meine Bitte nicht hören wollen. Nur
              unter dieser einzigen Bedingung verzeihe ich Ihnen die Grausamkeiten, die Sie an mir
              ausgeübet haben.","KARL.
            Ein einziger",31,"transfer(lucie, karl, child_of(lucie, willhelm), uncertain)",false
17511,17604," Vater zu empfinden fähig ist.","Ich hoffe,
              meinen Sohn bald durch eine tugendhafte Gemahlin glücklich zu sehen.","– Was fehlt
              Ihne",32,"transfer(willhelm, [lucie, audience], engaged(karl, FIANCÉE[KARL]))",false
209460,209526,"
          
            LUCIE.",Ihre Schwester! Ha! Lucie selbst weiß ihre Laster noch nicht alle.,"Fürchterliche
              Du",33,"transfer(lucie, audience, siblings(lucie, karl), uncertain)",false
13636,13663," erweisen zu dürfen? Ich weiß,",Sie sind mein andrer Vater.,"Aber vergeben Sie, die Natur
 ",34,"transfer(lucie, [willhelm, audience], fosterparent_of(willhelm, lucie))",false
224311,224419,"ar in
              demselben.","Lucie bemächtigte sich heimlich eines Messers! Sie stieß es in das Herz
              dieser elenden Kreatur",und ebenso geschwind in das ih,35,"transfer(amalie, [robert, audience], murderer_of(lucie, betty))",false
15019,15046,"iel, zu viel Gütigkeit! Hätten",diese unbarmherzigen Eltern,"doch nur den
              ger",36,"transfer(lucie, audience, child_of([PARENT-1, PARENT-2], lucie))",false
56920,56938,an. Klagen Sie sich selbst an.,Ich liebete Lucien,". Ich sah Amalien. Konnte
    ",37,"transfer(karl, amalie, in_love_with(karl, lucie))",false
74937,74980,"             Lucie Sie liebet,","er weiß, daß Sie Lucien nicht wieder lieben",", daß Ihr ganzes Herz
        ",38,"transfer(robert, karl, knowledge(willhelm, !in_love_with(karl, lucie)))",false
92015,92249,"ht
              gleichgültig.","Aber ich schwöre Ihnen, ich empfand von dem Augenblicke an, da ich Ihre
              und meine Pflichten kennenlernete, nichts als Freundschaft. Ich biete Ihnen heute
              diese Freundschaft noch einmal an. Wollen Sie diese?","KARL.
            Sagen Sie me",39,"transfer(amalie, [audience, karl], !in_love_with(amalie, karl))",false
72065,72107,Einwilligung. Hoffe noch mehr.,Amalie ist nicht unempfindlich gegen dich.,"KARL
            vor sich.
   ",40,"transfer(willhelm, karl, in_love_with(amalie, karl))",false
66726,66772,"          
            AMALIE.",Ist er ungerührt gegen den Wert ihres Herzens.,Aber er wird es nicht länger s,41,"transfer(amalie, robert, !in_love_with(karl, lucie))",false
