begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
34313,34333,"          Er kommt eben recht,",Herr Vetter Magister,; mein Mädel wird heut keine K,0,"transfer(frau_humbrecht, audience, cousins(humbrecht, magister), uncertain)",false
114756,114889,"   
        
          EVCHEN.","Gröningseck! noch eins! Er kommt zurück, sie küßt ihn mit den Worten.
            Den kann ich Ihnen morgen nicht auf die Reis geben!","Und riegelt die
              ",1,"transfer(evchen, [audience, von_groeningseck], in_love_with(evchen, von_groeningseck))",false
166928,166973,"   
        
          EVCHEN.","Ja, ja! Ich – Ich! ich bin die Muttermörderin",",
            die  keinen gute",2,"transfer(evchen, frau_marthan, identity(evchen, ""Tochter von Humbrecht""))",false
166928,166973,"   
        
          EVCHEN.","Ja, ja! Ich – Ich! ich bin die Muttermörderin",",
            die  keinen gute",3,"transfer(evchen, frau_marthan, !dead(evchen))",false
62590,62652,"     
          VON HASENPOTH.","Eins von beiden! – ist's das nicht, so muß es das  erste sein.","– Und
            dennoch – we",4,"transfer(von_hasenpoth, [audience, von_groeningseck], in_love_with(von_groeningseck, LOVER[VON_GROENINGSECK]))",false
179911,179944,etzt mag's der – Henker tun! –,"Mein Kind ist tot, tot durch mich","–
        
        
          ",5,"transfer(evchen, [humbrecht, magister], murderer_of(evchen, CHILD[EVCHEN]))",false
130322,130450,"ilie, die diesen Namen führen.","Fragen Sie doch Evchen Humbrecht, Ihre Base, ob
            sie dumm genug ist zu glauben, daß ich sie würklich heiraten wollte.","Wenn sie
            zurückden",6,"transfer(magister, [audience, frau_humbrecht, humbrecht], transfer(von_groeningseck, magister, !in_love_with(von_groeningseck, evchen)))",false
126378,126523,"
        
          HUMBRECHT.","Weiß ich's? – Wenn's mir recht ist, so hält er uns für Kalbsköpf, die keine Augen
            haben, und unser Evchen – wenigstens für eine Hure.","MAGISTER
          betroffen.
",7,"transfer(humbrecht, frau_humbrecht, transfer(magister, humbrecht, lovers(evchen, LOVER[EVCHEN]), uncertain))",false
158,214," 
        
          Personen.","Martin Humbrecht, ein Metzger.
          Frau Humbrecht.","Evchen Humbrecht, ihre Tochter",8,"transfer(""Figurentafel"", audience, spouses(humbrecht, frau_humbrecht))",false
159347,159451," blast er
            ihr was,","und da hat sie sich ins Wasser gestürzt – gestern früh hat man sie in der
            Wanzenau gefunden.","EVCHEN.
          Ersäuft! ha!",9,"transfer(frau_marthan, [audience, evchen], murderer_of(evchen, evchen), lie)",false
